Timestamp (UTC),Open,High,Low,Close,FCPO Jun21: Volume
2020-06-18,2384,2385,2384,2384,24
2020-06-19,2450,2450,2450,2450,13
2020-06-22,2446,2453,2446,2453,66
2020-06-23,2437,2445,2437,2445,19
2020-06-24,2422,2424,2422,2424,44
2020-06-29,2353,2353,2353,2353,31
2020-07-01,2357,2377,2357,2377,41
2020-07-02,2388,2388,2388,2388,3
2020-07-03,2412,2412,2400,2400,19
2020-07-06,2438,2448,2416,2416,57
2020-07-07,2388,2395,2388,2395,9
2020-07-09,2408,2408,2408,2408,14
2020-07-10,2400,2400,2400,2400,12
2020-07-13,2403,2409,2403,2408,51
2020-07-14,2443,2457,2443,2457,173
2020-07-15,2500,2503,2490,2503,63
2020-07-16,2526,2526,2492,2492,105
2020-07-17,2520,2568,2520,2550,101
2020-07-20,2582,2582,2562,2568,242
2020-07-21,2561,2572,2544,2544,121
2020-07-22,2596,2596,2541,2541,75
2020-07-23,2532,2541,2529,2541,258
2020-07-24,2567,2567,2538,2551,314
2020-07-27,2521,2533,2495,2500,258
2020-07-28,2474,2488,2466,2488,218
2020-07-29,2526,2526,2526,2526,92
2020-07-30,2561,2573,2550,2550,344
2020-08-03,2608,2608,2577,2581,344
2020-08-04,2608,2615,2584,2591,431
2020-08-05,2571,2571,2555,2555,161
2020-08-06,2589,2592,2586,2592,271
2020-08-07,2556,2556,2555,2555,10
2020-08-10,2545,2545,2540,2541,37
2020-08-11,2525,2525,2489,2490,250
2020-08-12,2472,2515,2472,2509,233
2020-08-13,2562,2562,2562,2562,226
2020-08-14,2518,2518,2518,2518,61
2020-08-17,2556,2576,2555,2571,218
2020-08-18,2549,2591,2549,2591,120
2020-08-19,2622,2627,2616,2621,204
2020-08-21,2564,2564,2564,2564,158
2020-08-24,2585,2589,2570,2570,134
2020-08-25,2530,2532,2523,2526,189
2020-08-26,2542,2559,2542,2559,181
2020-08-27,2585,2591,2578,2579,369
2020-08-28,2619,2632,2619,2630,359
2020-09-01,2666,2681,2650,2655,646
2020-09-02,2644,2685,2644,2673,947
2020-09-03,2697,2718,2693,2716,561
2020-09-04,2701,2701,2645,2654,637
2020-09-07,2654,2667,2627,2627,599
2020-09-08,2680,2694,2668,2688,293
2020-09-09,2649,2680,2642,2642,269
2020-09-10,2658,2664,2642,2644,374
2020-09-11,2635,2645,2620,2645,373
2020-09-14,2702,2723,2687,2715,951
2020-09-15,2738,2745,2723,2745,389
2020-09-17,2815,2815,2783,2790,813
2020-09-18,2845,2870,2830,2869,1205
2020-09-21,2879,2890,2820,2823,878
2020-09-22,2796,2803,2752,2787,1656
2020-09-23,2727,2762,2706,2717,1453
2020-09-24,2674,2696,2621,2624,1722
