shape,5d,10d,20d
0.0,83.89999999999999,79.10000000000001,71.7
0.1,52.7,41.199999999999996,29.799999999999997
0.2,39.2,24.099999999999998,6.3
1,84.89999999999999,80.2,74.4
2,62.0,54.1,42.1
