month,0.0,0.1,0.2,1,2
1,28.599999999999998,33.300000000000004,0.0,12.5,25.5
2,42.6,30.9,0.6,3.1,22.8
3,54.50000000000001,24.4,1.7000000000000002,9.1,10.2
4,64.2,2.1,1.6,15.8,16.3
5,41.8,4.9,11.5,36.3,5.5
6,35.699999999999996,5.1,19.7,33.800000000000004,5.7
7,34.300000000000004,3.5000000000000004,9.3,39.0,14.000000000000002
8,32.800000000000004,2.3,1.0999999999999999,57.599999999999994,6.2
9,35.199999999999996,6.800000000000001,0.6,51.9,5.6000000000000005
10,24.6,11.200000000000001,0.6,50.8,12.8
11,23.0,11.5,0.0,37.7,27.900000000000002
12,32.7,14.099999999999998,0.0,25.0,28.199999999999996
