Timestamp (UTC),Open,High,Low,Close,FCPO May22: Volume
2020-11-25,2732,2732,2725,2725,13
2020-11-26,2750,2760,2700,2700,35
2020-11-27,2760,2760,2760,2760,35
2020-12-03,2740,2740,2740,2740,1
2020-12-04,2750,2750,2750,2750,8
2020-12-07,2722,2722,2722,2722,2
2020-12-11,2720,2720,2720,2720,2
2020-12-16,2703,2703,2703,2703,1
2020-12-22,2740,2740,2740,2740,1
2020-12-23,2750,2750,2750,2750,11
2020-12-24,2760,2760,2760,2760,10
2021-01-04,2766,2766,2766,2766,6
2021-01-06,2813,2813,2813,2813,2
2021-01-07,2885,2885,2885,2885,1
2021-01-12,2830,2830,2830,2830,2
2021-01-13,2848,2850,2848,2850,6
2021-01-14,2855,2855,2850,2855,9
2021-01-15,2860,2880,2820,2840,87
2021-01-18,2873,2881,2863,2880,24
2021-01-19,2898,2914,2890,2914,191
2021-01-21,2920,2930,2910,2910,180
2021-01-22,2913,2940,2905,2920,62
2021-01-25,2873,2880,2870,2880,39
2021-01-26,2870,2885,2868,2880,54
2021-01-27,2910,2960,2910,2960,171
2021-01-29,2955,3010,2955,3008,206
2021-02-03,2888,2888,2855,2855,7
2021-02-04,2890,2915,2885,2915,199
2021-02-05,2899,2915,2899,2900,165
2021-02-08,2919,2920,2914,2914,43
2021-02-09,2960,2965,2952,2952,58
2021-02-10,2978,3000,2960,2985,235
2021-02-11,2957,2957,2957,2957,1
2021-02-15,2975,3020,2975,3010,386
2021-02-16,2998,3088,2998,3010,356
2021-02-17,3047,3048,3026,3040,120
2021-02-18,3022,3024,2958,2958,34
2021-02-19,3040,3041,3010,3027,229
2021-02-22,3078,3078,3040,3045,110
2021-02-23,3070,3120,3070,3120,605
2021-02-24,3144,3145,3100,3110,133
2021-02-25,3151,3195,3130,3195,439
2021-02-26,3161,3175,3161,3173,11
2021-03-01,3172,3172,3118,3118,104
2021-03-02,3080,3089,3076,3080,43
2021-03-03,3117,3125,3112,3115,56
2021-03-04,3173,3174,3125,3125,103
2021-03-05,3159,3160,3130,3130,76
2021-03-08,3274,3274,3205,3225,264
2021-03-09,3250,3252,3192,3246,33
2021-03-10,3238,3256,3237,3256,259
2021-03-11,3245,3257,3237,3257,99
2021-03-12,3273,3273,3260,3263,219
2021-03-15,3268,3275,3213,3237,69
2021-03-16,3220,3227,3139,3158,90
