Timestamp (UTC),Open,High,Low,Close,FCPO Apr22: Volume
2021-04-16,3330,3343,3328,3331,293
2021-04-19,3320,3335,3320,3335,28
2021-04-20,3371,3382,3371,3382,190
2021-04-21,3392,3475,3390,3475,118
2021-04-22,3509,3509,3483,3483,63
2021-04-23,3536,3559,3455,3465,128
2021-04-26,3437,3446,3417,3446,36
2021-04-27,3500,3500,3488,3500,102
2021-04-30,3390,3392,3380,3380,62
2021-05-03,3515,3515,3471,3471,71
2021-05-04,3465,3465,3465,3465,58
2021-05-05,3444,3444,3444,3444,13
2021-05-06,3560,3615,3560,3600,278
2021-05-07,3690,3704,3646,3690,248
2021-05-10,3649,3649,3588,3636,108
2021-05-11,3689,3690,3620,3624,226
2021-05-12,3727,3727,3705,3725,147
2021-05-17,3650,3662,3642,3654,300
2021-05-18,3681,3755,3670,3750,779
2021-05-19,3626,3627,3619,3627,328
2021-05-20,3577,3617,3532,3532,125
2021-05-21,3529,3535,3493,3505,148
2021-05-24,3451,3520,3451,3520,181
2021-05-25,3555,3581,3555,3581,660
2021-05-27,3479,3479,3454,3477,82
2021-05-28,3547,3588,3546,3572,184
2021-05-31,3584,3588,3541,3550,200
2021-06-01,3570,3611,3560,3605,192
2021-06-02,3656,3796,3656,3796,573
2021-06-03,3869,3915,3783,3785,445
2021-06-04,3776,3785,3740,3740,446
2021-06-08,3700,3715,3630,3715,450
2021-06-09,3699,3705,3627,3628,341
2021-06-10,3692,3712,3610,3632,170
2021-06-11,3586,3586,3450,3450,500
2021-06-14,3353,3353,3265,3292,914
2021-06-15,3387,3493,3355,3490,351
2021-06-16,3437,3437,3322,3372,520
2021-06-17,3344,3376,3275,3303,666
2021-06-18,3225,3340,3184,3320,966
2021-06-21,3322,3344,3287,3300,668
2021-06-22,3346,3425,3328,3375,1204
2021-06-23,3449,3540,3449,3452,734
2021-06-24,3420,3430,3389,3409,422
2021-06-25,3422,3480,3420,3470,776
2021-06-28,3404,3456,3403,3456,586
2021-06-29,3427,3487,3427,3474,386
2021-06-30,3502,3515,3468,3468,828
2021-07-01,3568,3570,3547,3547,342
2021-07-02,3567,3612,3563,3586,551
2021-07-05,3582,3644,3582,3602,605
2021-07-06,3647,3649,3593,3593,582
2021-07-07,3462,3569,3462,3554,443
2021-07-08,3571,3571,3480,3506,1039
2021-07-09,3546,3580,3511,3522,695
2021-07-12,3605,3605,3527,3527,2065
2021-07-13,3621,3633,3585,3605,1778
2021-07-14,3615,3698,3590,3678,1698
2021-07-15,3668,3778,3668,3775,1449
2021-07-16,3748,3803,3735,3798,1454
2021-07-19,3820,3825,3789,3790,897
2021-07-21,3797,3814,3735,3763,469
2021-07-22,3730,3750,3712,3717,548
2021-07-23,3784,3796,3742,3786,1635
2021-07-26,3749,3839,3749,3837,1345
2021-07-27,3886,3911,3856,3893,1238
2021-07-28,3868,3868,3802,3802,549
2021-07-29,3806,3910,3801,3910,920
2021-07-30,3872,3890,3840,3840,326
2021-08-02,3706,3706,3660,3675,724
2021-08-03,3694,3720,3679,3698,1258
2021-08-04,3721,3794,3721,3759,1488
2021-08-05,3753,3794,3700,3710,868
2021-08-06,3736,3802,3736,3802,411
2021-08-09,3780,3847,3761,3770,1061
2021-08-11,3850,3998,3850,3960,1570
2021-08-12,3950,4010,3944,3959,796
2021-08-13,3942,3967,3924,3967,590
2021-08-16,4032,4090,4030,4057,2164
2021-08-17,4106,4130,4026,4059,1789
2021-08-18,4000,4009,3962,3973,1677
2021-08-19,3993,4020,3940,3956,2780
2021-08-20,3956,3976,3914,3969,1420
2021-08-23,3900,4038,3900,4029,1771
2021-08-24,3969,4006,3960,3989,1336
2021-08-25,4010,4038,3963,3979,2195
2021-08-26,4009,4011,3950,3983,1123
2021-08-27,3937,3970,3917,3922,1374
2021-08-30,3925,3925,3830,3843,306
2021-09-01,3784,3821,3760,3766,1610
2021-09-02,3759,3842,3750,3812,572
2021-09-03,3888,3936,3853,3853,1648
2021-09-06,3914,3945,3914,3915,1442
2021-09-07,3914,3965,3906,3959,1064
2021-09-08,3950,4024,3950,4022,1235
2021-09-09,3980,3980,3933,3950,430
2021-09-10,3964,3967,3845,3865,1764
2021-09-13,3915,3917,3877,3892,563
2021-09-14,3868,3923,3867,3889,1195
2021-09-15,3948,3954,3934,3934,1334
2021-09-17,3943,3943,3830,3866,1800
2021-09-20,3728,3870,3728,3801,1044
2021-09-21,3775,3799,3749,3794,2703
2021-09-22,3843,3923,3839,3919,1936
2021-09-23,3926,4010,3926,4004,2168
2021-09-24,3994,4020,3957,3990,997
2021-09-27,4025,4036,3942,3958,1287
2021-09-28,3910,4020,3910,4007,1107
2021-09-29,3982,4036,3958,4036,1135
2021-09-30,4083,4181,4083,4181,3184
2021-10-01,4140,4170,4110,4110,1696
2021-10-04,4112,4209,4105,4202,2774
2021-10-05,4229,4407,4229,4350,5906
2021-10-06,4447,4467,4419,4465,3250
2021-10-07,4419,4426,4381,4420,1640
2021-10-08,4449,4552,4370,4530,5642
2021-10-11,4485,4555,4485,4540,1612
2021-10-12,4505,4505,4447,4474,2110
2021-10-13,4400,4592,4396,4572,3321
2021-10-14,4476,4500,4442,4476,2421
2021-10-15,4493,4590,4479,4549,3204
2021-10-18,4542,4629,4542,4622,2513
2021-10-20,4644,4745,4638,4727,2109
2021-10-21,4821,4865,4601,4634,4090
2021-10-22,4537,4601,4480,4595,2690
2021-10-25,4621,4670,4615,4619,2789
2021-10-26,4687,4700,4585,4651,2443
2021-10-27,4585,4638,4572,4612,2602
2021-10-28,4534,4574,4472,4561,3030
2021-10-29,4596,4637,4580,4631,3208
2021-11-01,4604,4631,4497,4553,3219
2021-11-02,4603,4615,4448,4546,3427
2021-11-03,4496,4626,4496,4614,4359
2021-11-05,4478,4478,4415,4415,3632
2021-11-08,4335,4443,4297,4435,2849
2021-11-09,4350,4359,4235,4288,7456
2021-11-10,4338,4428,4316,4402,5394
2021-11-11,4442,4444,4322,4371,7737
2021-11-12,4423,4460,4380,4404,3545
2021-11-15,4405,4464,4379,4438,2255
2021-11-16,4454,4507,4443,4457,3456
2021-11-17,4514,4566,4493,4560,5993
2021-11-18,4562,4631,4530,4619,4808
2021-11-19,4631,4683,4605,4626,3653
2021-11-22,4583,4604,4540,4595,2828
2021-11-23,4652,4652,4489,4503,3818
2021-11-24,4577,4610,4512,4587,4625
2021-11-25,4621,4668,4608,4610,3873
2021-11-26,4598,4632,4530,4540,4082
2021-11-29,4590,4607,4490,4493,4535
2021-11-30,4396,4410,4220,4281,9290
2021-12-01,4320,4329,4260,4292,5716
2021-12-02,4251,4260,4171,4246,6681
2021-12-06,4410,4421,4350,4364,5891
2021-12-07,4394,4542,4385,4542,4150
2021-12-08,4534,4544,4404,4450,5306
2021-12-09,4425,4524,4384,4396,7550
2021-12-10,4370,4456,4345,4401,4607
2021-12-13,4325,4430,4325,4365,7912
2021-12-14,4346,4393,4274,4278,6459
2021-12-15,4280,4292,4065,4103,13080
2021-12-16,4104,4270,4096,4243,8721
2021-12-17,4232,4352,4225,4242,6955
2021-12-20,4221,4254,4130,4130,5689
2021-12-21,4146,4250,4142,4222,6402
2021-12-22,4240,4336,4215,4283,5449
2021-12-23,4324,4356,4288,4320,5923
2021-12-24,4327,4485,4312,4485,5060
2021-12-27,4485,4504,4428,4430,5104
2021-12-28,4440,4614,4435,4601,7228
2021-12-29,4576,4582,4465,4501,5946
2021-12-30,4508,4539,4471,4487,5520
2021-12-31,4475,4548,4473,4505,4452
2022-01-03,4498,4698,4498,4663,9718
2022-01-04,4658,4724,4610,4713,8497
2022-01-05,4715,4845,4695,4835,10025
2022-01-06,4823,4860,4727,4780,8992
2022-01-07,4797,4841,4766,4797,8695
2022-01-10,4792,4931,4781,4832,11362
2022-01-11,4814,4887,4758,4883,10275
2022-01-12,4875,4918,4834,4854,11974
2022-01-13,4865,4990,4861,4990,13736
2022-01-14,4975,4982,4870,4962,16749
2022-01-17,4954,5045,4912,5034,27350
2022-01-19,5141,5195,5106,5125,32529
2022-01-20,5128,5228,5118,5190,32986
2022-01-21,5190,5327,5181,5323,26465
2022-01-24,5298,5380,5233,5259,30053
2022-01-25,5260,5286,5202,5283,24324
2022-01-26,5273,5352,5250,5331,19196
2022-01-27,5340,5500,5329,5441,30736
2022-01-28,5475,5639,5445,5633,33993
2022-01-31,5690,5700,5586,5587,9246
2022-02-03,5549,5611,5471,5523,19945
2022-02-04,5523,5626,5489,5621,24507
2022-02-07,5722,5749,5446,5539,38944
2022-02-08,5552,5581,5351,5446,46045
2022-02-09,5415,5612,5291,5596,46295
2022-02-10,5631,5631,5514,5531,34075
2022-02-11,5564,5624,5498,5580,31834
2022-02-14,5655,5697,5616,5672,28658
2022-02-15,5649,5773,5612,5660,24812
2022-02-16,5641,5717,5540,5608,13140
2022-02-17,5624,5739,5579,5719,15882
2022-02-18,5737,5821,5726,5743,6736
2022-02-21,5822,5926,5815,5897,8030
2022-02-22,5888,6106,5852,6098,7660
2022-02-23,6053,6292,5999,6254,8286
2022-02-24,6281,6786,6275,6786,7292
2022-02-25,6761,6790,6160,6321,10995
2022-02-28,6503,6781,6446,6775,5694
2022-03-01,6714,7445,6636,7435,6416
2022-03-02,7504,8034,7000,7200,6333
2022-03-03,7324,7549,7110,7250,2049
2022-03-04,7318,7318,6532,6590,1800
2022-03-07,6872,7094,6725,7001,2013
2022-03-08,6900,7121,6785,6816,2273
2022-03-09,6769,7731,6769,7577,2535
2022-03-10,7404,7681,7287,7624,2420
2022-03-11,7700,7729,7271,7304,1392
2022-03-14,7022,7052,6575,6891,3547
2022-03-15,6760,6949,6567,6711,2231
2022-03-16,6743,6900,6685,6900,828
2022-03-17,6901,6901,6215,6560,1885
2022-03-18,6571,6749,6105,6118,955
2022-03-21,6188,6400,6151,6248,1038
2022-03-22,6322,6472,6304,6472,1681
2022-03-23,6450,6710,6440,6698,2274
2022-03-24,6772,6810,6496,6514,1295
2022-03-25,6564,6619,6500,6619,957
2022-03-28,6629,6630,6560,6578,557
2022-03-29,6522,6670,6445,6636,1052
2022-03-30,6509,6600,6468,6533,1103
2022-03-31,6495,6513,6353,6395,1114
2022-04-01,6353,6383,6177,6383,110
2022-04-04,6380,6425,6321,6375,434
2022-04-05,6391,6600,6391,6560,308
2022-04-06,6445,6699,6445,6615,237
2022-04-07,6582,6658,6530,6658,140
2022-04-08,6590,6700,6540,6700,156
2022-04-11,6700,6800,6700,6765,98
2022-04-12,6800,6890,6800,6890,110
2022-04-13,6780,6780,6780,6780,2
2022-04-14,6900,6900,6810,6820,67
