Timestamp (UTC),Open,High,Low,Close,FCPO Jun22: Volume
2021-06-17,3332,3334,3332,3334,30
2021-06-18,3206,3300,3179,3300,68
2021-06-21,3305,3320,3269,3281,189
2021-06-22,3338,3390,3318,3363,289
2021-06-23,3440,3531,3416,3416,134
2021-06-24,3398,3406,3383,3383,33
2021-06-25,3397,3440,3397,3435,126
2021-06-28,3360,3431,3360,3431,59
2021-06-29,3410,3460,3410,3460,118
2021-06-30,3480,3482,3449,3449,173
2021-07-01,3540,3540,3500,3506,184
2021-07-02,3527,3557,3526,3547,231
2021-07-05,3550,3600,3547,3572,119
2021-07-06,3600,3600,3580,3580,114
2021-07-07,3504,3513,3496,3513,61
2021-07-08,3475,3482,3433,3480,219
2021-07-09,3500,3529,3460,3460,165
2021-07-12,3523,3524,3474,3474,247
2021-07-13,3530,3538,3495,3509,430
2021-07-14,3500,3585,3488,3567,504
2021-07-15,3560,3654,3560,3654,642
2021-07-16,3664,3675,3625,3660,542
2021-07-19,3690,3690,3660,3665,300
2021-07-21,3678,3679,3609,3630,300
2021-07-22,3610,3640,3596,3596,331
2021-07-23,3613,3665,3601,3645,616
2021-07-26,3619,3680,3619,3680,505
2021-07-27,3720,3750,3719,3743,387
2021-07-28,3705,3706,3643,3668,128
2021-07-29,3650,3752,3650,3752,673
2021-07-30,3708,3768,3700,3700,455
2021-08-02,3561,3561,3543,3543,206
2021-08-03,3567,3589,3566,3577,167
2021-08-04,3590,3668,3590,3629,347
2021-08-05,3635,3660,3573,3583,213
2021-08-06,3620,3643,3611,3643,31
2021-08-09,3645,3715,3643,3671,314
2021-08-11,3720,3828,3716,3817,443
2021-08-12,3797,3847,3782,3800,226
2021-08-13,3789,3804,3789,3796,69
2021-08-16,3882,3925,3882,3919,992
2021-08-17,3945,3967,3925,3929,582
2021-08-18,3880,3880,3835,3840,476
2021-08-19,3856,3863,3827,3827,731
2021-08-20,3840,3849,3810,3845,618
2021-08-23,3828,3901,3828,3901,570
2021-08-24,3840,3869,3832,3862,347
2021-08-25,3869,3902,3818,3818,712
2021-08-26,3866,3866,3825,3827,387
2021-08-27,3784,3805,3752,3752,717
2021-08-30,3761,3761,3689,3690,74
2021-09-01,3629,3659,3621,3621,748
2021-09-02,3699,3699,3682,3682,100
2021-09-03,3743,3784,3700,3700,1011
2021-09-06,3776,3780,3754,3776,889
2021-09-07,3758,3799,3758,3798,577
2021-09-08,3788,3840,3788,3826,521
2021-09-09,3784,3784,3770,3770,251
2021-09-10,3778,3778,3682,3695,358
2021-09-13,3750,3751,3724,3724,218
2021-09-14,3731,3750,3710,3710,440
2021-09-15,3770,3784,3753,3753,323
2021-09-17,3737,3747,3656,3678,795
2021-09-20,3634,3691,3631,3636,506
2021-09-21,3625,3625,3553,3596,2122
2021-09-22,3656,3712,3640,3707,1663
2021-09-23,3724,3787,3723,3762,1326
2021-09-24,3762,3781,3750,3758,469
2021-09-27,3800,3800,3722,3739,682
2021-09-28,3714,3789,3714,3775,400
2021-09-29,3750,3810,3738,3788,711
2021-09-30,3854,3948,3854,3945,1364
2021-10-01,3921,3941,3890,3890,1169
2021-10-04,3886,3976,3886,3968,1558
2021-10-05,3995,4143,3995,4098,4525
2021-10-06,4179,4204,4158,4200,3073
2021-10-07,4133,4157,4120,4152,685
2021-10-08,4136,4275,4112,4253,2514
2021-10-11,4227,4289,4226,4277,575
2021-10-12,4223,4250,4220,4243,1158
2021-10-13,4210,4349,4210,4318,1296
2021-10-14,4291,4291,4205,4244,829
2021-10-15,4267,4357,4249,4315,1706
2021-10-18,4321,4389,4321,4387,1144
2021-10-20,4410,4495,4395,4485,1248
2021-10-21,4595,4595,4352,4387,2866
2021-10-22,4262,4365,4248,4365,1394
2021-10-25,4388,4420,4375,4382,1184
2021-10-26,4443,4443,4343,4404,1071
2021-10-27,4351,4378,4351,4375,1244
2021-10-28,4257,4340,4243,4334,1401
2021-10-29,4349,4404,4339,4403,1760
2021-11-01,4368,4391,4280,4319,1149
2021-11-02,4332,4332,4230,4297,1296
2021-11-03,4261,4366,4261,4353,2196
2021-11-05,4182,4214,4168,4168,1574
2021-11-08,4068,4195,4068,4195,733
2021-11-09,4111,4111,4015,4071,2344
2021-11-10,4114,4192,4090,4172,2241
2021-11-11,4203,4206,4116,4170,2517
2021-11-12,4213,4230,4165,4190,878
2021-11-15,4198,4226,4158,4222,986
2021-11-16,4269,4271,4208,4220,1715
2021-11-17,4247,4323,4247,4322,2160
2021-11-18,4311,4359,4293,4358,2561
2021-11-19,4344,4405,4340,4350,1756
2021-11-22,4296,4327,4276,4327,872
2021-11-23,4362,4362,4232,4253,1807
2021-11-24,4318,4364,4272,4347,2521
2021-11-25,4367,4412,4361,4365,1352
2021-11-26,4374,4388,4297,4318,1557
2021-11-29,4360,4360,4219,4228,2989
2021-11-30,4152,4153,3956,4006,5412
2021-12-01,4040,4065,4000,4042,3241
2021-12-02,4005,4005,3920,3991,3506
2021-12-06,4150,4175,4130,4137,3346
2021-12-07,4193,4284,4193,4284,2194
2021-12-08,4278,4296,4150,4204,2062
2021-12-09,4181,4275,4150,4160,3488
2021-12-10,4125,4220,4112,4153,2132
2021-12-13,4083,4174,4083,4112,4425
2021-12-14,4078,4149,4014,4033,4745
2021-12-15,4034,4038,3876,3906,6212
2021-12-16,3921,4060,3921,4042,3597
2021-12-17,4055,4152,4038,4040,3920
2021-12-20,4047,4047,3940,3940,2227
2021-12-21,3987,4050,3974,4025,2142
2021-12-22,4023,4134,4023,4096,2107
2021-12-23,4120,4154,4101,4111,2857
