Timestamp (UTC),Open,High,Low,Close,FCPO Feb23: Volume
2022-02-16,4600,4610,4600,4610,15
2022-02-17,4610,4672,4610,4672,53
2022-02-21,4765,4765,4765,4765,26
2022-02-22,4799,4872,4799,4862,164
2022-02-23,4845,4947,4845,4947,24
2022-02-24,5023,5301,5023,5301,410
2022-02-25,5160,5160,4926,4927,238
2022-02-28,5100,5141,5095,5117,218
2022-03-01,5220,5328,5185,5309,231
2022-03-02,5409,5421,5188,5334,33
2022-03-03,5400,5626,5400,5525,144
2022-03-04,5508,5508,5340,5360,88
2022-03-07,5540,5540,5494,5494,64
2022-03-08,5510,5510,5490,5490,128
2022-03-09,5577,5714,5510,5714,87
2022-03-10,5619,5708,5587,5629,117
2022-03-11,5483,5510,5455,5469,221
2022-03-14,5246,5261,5152,5254,281
2022-03-15,5232,5232,5088,5185,125
2022-03-16,5391,5550,5391,5547,181
2022-03-17,5470,5599,5470,5560,187
2022-03-18,5483,5483,5364,5367,58
2022-03-21,5432,5591,5432,5558,78
2022-03-22,5437,5556,5437,5485,132
2022-03-23,5504,5587,5504,5587,71
2022-03-24,5619,5619,5542,5542,207
2022-03-25,5541,5558,5480,5555,246
2022-03-28,5574,5574,5574,5574,5
2022-03-29,5491,5491,5491,5491,54
2022-03-30,5470,5483,5447,5483,77
2022-03-31,5397,5402,5318,5318,28
2022-04-01,5409,5409,5136,5174,392
2022-04-04,5270,5296,5220,5253,390
2022-04-05,5328,5444,5328,5444,158
2022-04-06,5449,5504,5425,5455,482
2022-04-07,5473,5489,5361,5419,153
2022-04-08,5401,5535,5398,5535,128
2022-04-11,5530,5530,5508,5508,201
2022-04-12,5618,5663,5616,5663,197
2022-04-13,5712,5712,5575,5583,637
2022-04-14,5751,5760,5604,5680,541
2022-04-15,5728,5855,5728,5850,194
2022-04-18,5870,5910,5858,5910,442
2022-04-20,5967,5970,5785,5792,760
2022-04-21,5831,5831,5772,5793,478
2022-04-22,5826,5867,5732,5866,967
2022-04-25,6100,6100,5627,5719,779
2022-04-26,5859,5859,5713,5798,496
2022-04-27,5916,6163,5864,6150,1438
2022-04-28,6093,6130,6033,6096,1325
2022-04-29,6060,6320,6060,6247,823
2022-05-05,6018,6071,6000,6025,629
2022-05-06,6043,6043,5873,5941,1484
2022-05-09,5946,5971,5883,5929,376
2022-05-10,5898,5951,5800,5868,552
2022-05-11,5887,6005,5865,6005,630
2022-05-12,5949,5949,5807,5927,1493
2022-05-13,5901,5979,5898,5919,714
2022-05-17,5962,5962,5816,5870,391
2022-05-18,5904,5934,5870,5934,1012
2022-05-19,5922,5922,5815,5864,320
2022-05-20,5829,6014,5829,5877,1294
2022-05-23,5957,6011,5957,6010,274
2022-05-24,6020,6152,6015,6152,743
2022-05-25,6080,6084,5996,6046,736
2022-05-26,6009,6140,5943,6083,500
2022-05-27,6031,6169,5941,5941,1143
2022-05-30,5975,6020,5858,5865,741
2022-05-31,5889,5980,5886,5947,691
2022-06-01,5953,6016,5903,5949,1320
2022-06-02,5992,6034,5962,5966,1610
2022-06-03,6052,6078,5908,5997,1150
2022-06-07,6009,6122,6009,6079,857
2022-06-08,6060,6151,6040,6087,1088
2022-06-09,6063,6063,5849,5894,934
2022-06-10,5869,5918,5631,5631,1954
2022-06-13,5671,5687,5468,5483,1323
2022-06-14,5514,5600,5504,5594,1492
2022-06-15,5593,5594,5437,5492,2360
2022-06-16,5486,5511,5370,5438,1691
2022-06-17,5440,5515,5346,5488,4977
2022-06-20,5296,5376,5134,5134,4508
2022-06-21,5145,5145,4972,5030,2306
2022-06-22,5030,5079,4586,4594,3213
2022-06-23,4720,4852,4631,4835,2920
2022-06-24,4826,5009,4613,4767,2337
2022-06-27,4861,4994,4793,4958,996
2022-06-28,4963,5039,4844,4997,1052
2022-06-29,4966,4972,4901,4951,911
2022-06-30,4941,5015,4877,4955,1445
2022-07-01,4961,4961,4648,4803,3032
2022-07-04,4675,4688,4382,4491,3008
2022-07-05,4555,4558,4331,4343,2899
2022-07-06,4296,4296,3899,4244,3185
2022-07-07,4189,4373,4056,4373,2257
2022-07-08,4400,4472,4294,4378,4109
2022-07-12,4437,4461,4311,4311,1537
2022-07-13,4238,4238,4040,4040,4417
2022-07-14,3979,4202,3795,3874,3432
2022-07-15,3936,4005,3807,3858,3523
2022-07-18,3980,4160,3968,4139,2493
2022-07-19,4189,4234,4002,4018,2361
2022-07-20,4026,4202,4026,4127,1665
2022-07-21,4119,4145,3866,3895,1760
2022-07-22,3917,3980,3843,3887,1352
2022-07-25,3920,3957,3815,3820,1168
2022-07-26,3867,4050,3867,3941,1751
2022-07-27,3976,4001,3836,3965,3848
2022-07-28,3960,4161,3951,4142,3069
2022-07-29,4149,4457,4141,4445,2832
2022-08-01,4337,4383,4245,4259,2831
2022-08-02,4240,4250,4056,4056,2230
2022-08-03,4063,4157,4005,4061,2695
2022-08-04,4130,4130,3908,3977,5182
2022-08-05,4001,4081,3986,4023,2595
2022-08-08,4131,4229,4130,4198,1928
2022-08-09,4180,4297,4155,4227,2479
2022-08-10,4261,4275,4165,4226,1581
2022-08-11,4247,4365,4231,4365,1639
2022-08-12,4360,4573,4345,4554,5229
2022-08-15,4440,4455,4249,4255,2969
2022-08-16,4239,4413,4239,4308,2557
2022-08-17,4309,4332,4256,4295,1588
2022-08-18,4299,4299,4122,4133,3184
