Timestamp (UTC),Open,High,Low,Close,FCPO Jan23: Volume
2021-04-08,3008,3010,3008,3010,11
2021-04-16,3066,3066,3030,3030,19
2021-04-19,3005,3032,3003,3016,106
2021-04-20,3023,3035,3019,3022,82
2021-04-21,3029,3071,3020,3071,27
2021-04-22,3122,3122,3026,3035,31
2021-04-23,3031,3044,3031,3042,32
2021-04-26,3069,3069,3051,3051,8
2021-05-03,2943,3030,2943,3006,50
2021-05-04,3022,3022,3022,3022,1
2021-05-05,3010,3010,3010,3010,3
2021-05-06,3045,3149,3043,3148,103
2021-05-07,3203,3220,3203,3205,34
2021-05-10,3143,3143,3133,3142,20
2021-05-11,3120,3151,3117,3151,14
2021-05-12,3207,3207,3207,3207,3
2021-05-18,3216,3216,3138,3138,11
2021-05-19,3088,3088,3049,3049,53
2021-05-20,3059,3094,3056,3094,57
2021-05-21,3075,3076,3075,3076,64
2021-05-24,3080,3080,3080,3080,3
2021-05-27,3053,3056,3029,3056,15
2021-05-28,3140,3140,3140,3140,2
2021-06-02,3230,3263,3230,3263,11
2021-06-03,3420,3422,3390,3398,303
2021-06-04,3344,3344,3273,3274,105
2021-06-08,3340,3340,3252,3252,14
2021-06-09,3212,3220,3211,3216,169
2021-06-10,3235,3235,3235,3235,1
2021-06-11,3188,3188,3179,3181,21
2021-06-15,3200,3200,3200,3200,42
2021-06-16,3179,3179,3122,3125,68
2021-06-22,3200,3252,3182,3215,261
2021-06-23,3220,3231,3220,3225,54
2021-06-25,3232,3250,3232,3242,141
2021-06-30,3293,3293,3291,3291,10
2021-07-01,3341,3341,3330,3333,67
2021-07-05,3370,3384,3370,3370,40
2021-07-06,3330,3330,3290,3290,148
2021-07-07,3315,3315,3314,3314,30
2021-07-08,3275,3290,3275,3290,32
2021-07-09,3299,3299,3270,3285,26
2021-07-12,3305,3305,3254,3255,26
2021-07-13,3294,3302,3294,3302,22
2021-07-16,3400,3435,3377,3435,68
2021-07-19,3407,3407,3405,3405,16
2021-07-22,3390,3400,3385,3400,15
2021-07-23,3428,3428,3428,3428,25
2021-07-27,3478,3478,3470,3470,24
2021-07-30,3454,3454,3417,3424,85
2021-08-05,3405,3405,3356,3360,12
2021-08-06,3402,3402,3402,3402,13
2021-08-09,3442,3476,3437,3476,54
2021-08-11,3514,3520,3505,3505,24
2021-08-12,3505,3505,3505,3505,5
2021-08-13,3466,3466,3453,3453,30
2021-08-16,3564,3595,3564,3580,46
2021-08-17,3613,3613,3611,3611,3
2021-08-18,3538,3559,3538,3559,28
2021-08-19,3550,3550,3550,3550,9
2021-08-24,3615,3615,3615,3615,6
2021-08-26,3580,3580,3580,3580,10
2021-08-27,3492,3492,3488,3488,3
2021-09-01,3430,3437,3420,3420,98
2021-09-03,3552,3552,3552,3552,4
2021-09-06,3550,3550,3550,3550,6
2021-09-15,3540,3547,3524,3535,72
2021-09-20,3450,3450,3415,3417,78
2021-09-21,3410,3410,3344,3351,379
2021-09-22,3413,3413,3389,3400,122
2021-09-23,3420,3422,3400,3400,175
2021-09-27,3387,3388,3387,3388,37
2021-09-28,3410,3415,3410,3415,99
2021-09-29,3405,3405,3363,3385,159
2021-09-30,3470,3503,3470,3503,154
2021-10-01,3490,3502,3486,3490,96
2021-10-04,3507,3541,3500,3541,165
2021-10-05,3574,3585,3555,3580,127
2021-10-06,3600,3600,3590,3590,927
2021-10-07,3572,3580,3567,3580,241
2021-10-08,3565,3637,3562,3611,283
2021-10-11,3604,3646,3590,3646,136
2021-10-12,3623,3662,3622,3662,340
2021-10-13,3668,3746,3653,3746,180
2021-10-15,3740,3774,3740,3740,106
2021-10-18,3710,3788,3696,3788,40
2021-10-20,3775,3840,3775,3838,126
2021-10-21,3893,3893,3782,3782,66
2021-10-22,3715,3733,3715,3733,37
2021-10-25,3836,3836,3836,3836,2
2021-10-26,3867,3868,3845,3845,72
2021-10-29,3876,3876,3876,3876,2
2021-11-01,3865,3870,3804,3807,39
2021-11-02,3775,3784,3775,3783,26
2021-11-03,3800,3827,3800,3825,70
2021-11-08,3647,3721,3647,3720,65
2021-11-09,3659,3683,3643,3677,178
2021-11-10,3829,3835,3779,3822,576
2021-11-11,3847,3894,3847,3894,122
2021-11-12,3890,3894,3857,3857,80
2021-11-15,3850,3885,3835,3840,80
2021-11-16,3890,3892,3885,3886,53
2021-11-17,3892,3939,3892,3939,41
2021-11-18,3917,3954,3917,3943,117
2021-11-22,3898,3898,3878,3885,36
2021-11-23,3789,3825,3789,3825,38
2021-11-24,3895,3910,3884,3884,36
2021-11-25,3962,3963,3932,3932,68
2021-11-26,3890,3890,3890,3890,8
2021-11-30,3821,3821,3680,3719,521
2021-12-01,3747,3747,3747,3747,2
2021-12-02,3669,3676,3662,3676,30
2021-12-06,3870,3890,3870,3879,8
2021-12-07,3990,4000,3988,4000,15
2021-12-08,3936,3981,3926,3958,82
2021-12-09,3911,3911,3899,3907,6
2021-12-10,3880,3982,3861,3886,118
2021-12-13,3929,3950,3870,3913,157
2021-12-14,3950,3950,3865,3875,140
2021-12-15,3832,3854,3770,3770,100
2021-12-16,3851,3904,3851,3904,144
2021-12-17,3920,3986,3916,3934,18
2021-12-20,3833,3867,3827,3867,39
2021-12-21,3880,3889,3880,3889,5
2021-12-22,3891,3897,3891,3897,26
2021-12-23,3910,3920,3910,3920,43
2021-12-24,3920,3923,3907,3910,314
2021-12-28,3942,3991,3942,3991,31
2021-12-29,3905,3945,3860,3860,57
2021-12-30,3921,3925,3863,3863,67
2022-01-03,3938,4055,3938,4047,76
2022-01-04,3995,4041,3993,4041,82
2022-01-05,4026,4116,4025,4093,138
2022-01-06,4014,4014,4014,4014,17
2022-01-10,4138,4138,4105,4105,63
2022-01-11,4148,4166,4143,4160,88
2022-01-12,4134,4144,4109,4111,223
2022-01-13,4133,4156,4122,4144,242
2022-01-14,4120,4171,4074,4154,174
2022-01-17,4196,4196,4171,4172,97
2022-01-19,4248,4295,4248,4271,330
2022-01-20,4292,4344,4292,4304,516
2022-01-21,4319,4434,4314,4434,364
2022-01-24,4447,4447,4320,4392,857
2022-01-25,4367,4382,4358,4376,105
2022-01-26,4378,4437,4378,4421,164
2022-01-27,4475,4505,4468,4469,203
2022-01-28,4524,4658,4500,4622,532
2022-01-31,4711,4713,4630,4630,76
2022-02-03,4577,4618,4577,4597,138
2022-02-04,4597,4667,4597,4667,97
2022-02-07,4730,4730,4553,4607,285
2022-02-08,4580,4644,4560,4631,315
2022-02-09,4520,4672,4510,4661,751
2022-02-10,4620,4649,4615,4649,84
2022-02-11,4650,4662,4580,4652,445
2022-02-14,4685,4685,4635,4635,261
2022-02-15,4670,4713,4606,4606,288
2022-02-16,4600,4701,4600,4638,158
2022-02-17,4689,4731,4622,4711,336
2022-02-18,4720,4738,4671,4724,654
2022-02-21,4771,4825,4768,4807,427
2022-02-22,4844,4916,4786,4905,561
2022-02-23,4870,5040,4870,4985,721
2022-02-24,5005,5357,5005,5354,1240
2022-02-25,5200,5200,4905,5010,807
2022-02-28,5207,5207,5119,5119,963
2022-03-01,5272,5383,5221,5365,1127
2022-03-02,5400,5512,5103,5319,473
2022-03-03,5423,5694,5419,5643,860
2022-03-04,5600,5600,5378,5436,448
2022-03-07,5650,5650,5417,5587,270
2022-03-08,5463,5610,5463,5525,366
2022-03-09,5598,5963,5561,5800,315
2022-03-10,5684,5780,5610,5682,854
2022-03-11,5775,5780,5507,5536,692
2022-03-14,5395,5414,5195,5285,820
2022-03-15,5327,5327,5094,5305,711
2022-03-16,5263,5608,5263,5608,616
2022-03-17,5551,5646,5416,5602,593
2022-03-18,5605,5669,5368,5368,518
2022-03-21,5466,5640,5466,5563,492
2022-03-22,5527,5606,5478,5535,1474
2022-03-23,5517,5651,5472,5651,769
2022-03-24,5700,5750,5486,5496,685
2022-03-25,5562,5600,5470,5588,523
2022-03-28,5608,5620,5557,5557,129
2022-03-29,5542,5620,5465,5600,471
2022-03-30,5492,5525,5458,5505,391
2022-03-31,5454,5491,5315,5315,216
2022-04-01,5431,5452,5148,5189,1189
2022-04-04,5286,5312,5231,5265,456
2022-04-05,5300,5422,5300,5422,271
2022-04-06,5408,5534,5404,5468,695
2022-04-07,5491,5531,5379,5451,684
2022-04-08,5485,5553,5406,5553,801
2022-04-11,5513,5593,5490,5500,1990
2022-04-12,5490,5683,5490,5680,770
2022-04-13,5685,5727,5560,5590,2055
2022-04-14,5634,5789,5634,5700,2192
2022-04-15,5743,5892,5743,5874,378
2022-04-18,5894,5955,5864,5955,1936
2022-04-20,6006,6006,5787,5810,2651
2022-04-21,5910,5910,5790,5815,2641
2022-04-22,5771,5924,5750,5901,3128
2022-04-25,6078,6128,5635,5721,1909
2022-04-26,5717,5876,5717,5812,2757
2022-04-27,5866,6216,5866,6206,1979
2022-04-28,6208,6208,5981,6122,3726
2022-04-29,6101,6355,6101,6266,2892
2022-05-05,6053,6106,6020,6041,1737
2022-05-06,6141,6141,5872,5910,4080
2022-05-09,5951,5994,5890,5940,1514
2022-05-10,5913,5973,5815,5895,1954
2022-05-11,5881,6024,5864,5999,1517
2022-05-12,5937,5997,5816,5906,2428
2022-05-13,5898,5995,5898,5914,1094
2022-05-17,5973,5973,5815,5900,551
2022-05-18,5963,5966,5883,5914,810
2022-05-19,5930,5930,5810,5858,980
2022-05-20,5796,6038,5750,5874,3096
2022-05-23,5944,6025,5920,6005,974
2022-05-24,5965,6177,5965,6127,1986
2022-05-25,6098,6098,5993,6036,1753
2022-05-26,6014,6153,5952,6115,1498
2022-05-27,6083,6184,5939,5958,2550
2022-05-30,5985,6006,5871,5884,2902
2022-05-31,5867,5992,5867,5961,1582
2022-06-01,5946,6025,5898,5963,2270
2022-06-02,5985,6060,5975,5985,3134
2022-06-03,6014,6079,5914,6027,2912
2022-06-07,6026,6150,6022,6100,1499
2022-06-08,6108,6175,6046,6094,1821
2022-06-09,6063,6071,5845,5908,2380
2022-06-10,5890,5950,5640,5651,3457
2022-06-13,5684,5707,5474,5512,1941
2022-06-14,5520,5611,5512,5608,3124
2022-06-15,5606,5618,5432,5496,4121
2022-06-16,5483,5521,5368,5440,4330
2022-06-17,5427,5499,5341,5482,6211
2022-06-20,5275,5358,5073,5073,6904
2022-06-21,5100,5109,4937,5005,4491
2022-06-22,5009,5036,4563,4563,4474
2022-06-23,4635,4841,4605,4819,4400
2022-06-24,4809,5010,4600,4740,3610
2022-06-27,4813,4984,4771,4958,2314
2022-06-28,4939,5031,4813,4984,4109
2022-06-29,4956,4974,4884,4935,1729
2022-06-30,4938,5000,4850,4935,2819
2022-07-01,4936,4936,4599,4748,8453
2022-07-04,4631,4666,4295,4447,5322
2022-07-05,4500,4508,4278,4286,5461
2022-07-06,4287,4297,3850,4185,6666
2022-07-07,4140,4339,4005,4320,4894
2022-07-08,4347,4443,4220,4325,7248
2022-07-12,4390,4412,4249,4262,3474
2022-07-13,4240,4240,3960,3966,6247
2022-07-14,3937,4135,3714,3815,7889
2022-07-15,3878,3960,3729,3808,7683
2022-07-18,3901,4109,3895,4093,5321
2022-07-19,4139,4189,3943,3971,5427
2022-07-20,3963,4157,3963,4079,5688
2022-07-21,4068,4100,3814,3850,4165
2022-07-22,3863,3943,3796,3834,3461
2022-07-25,3869,3903,3754,3768,3935
2022-07-26,3815,4008,3815,3890,5848
2022-07-27,3926,3982,3786,3916,8382
2022-07-28,3908,4117,3900,4089,9150
2022-07-29,4111,4409,4084,4409,6443
2022-08-01,4331,4334,4186,4219,5332
2022-08-02,4181,4196,3991,3991,3476
2022-08-03,3986,4096,3939,3996,5627
2022-08-04,4062,4070,3847,3919,9315
2022-08-05,3944,4029,3914,3965,5555
2022-08-08,4089,4177,4075,4147,4089
2022-08-09,4153,4247,4095,4176,5284
2022-08-10,4212,4253,4086,4168,2917
2022-08-11,4181,4323,4181,4320,3943
2022-08-12,4324,4534,4308,4507,7762
2022-08-15,4387,4414,4201,4201,5693
2022-08-16,4192,4395,4187,4244,4426
2022-08-17,4278,4294,4198,4245,4530
2022-08-18,4239,4254,4075,4091,6533
2022-08-19,4110,4220,4051,4126,6270
2022-08-22,4250,4321,4197,4212,4602
2022-08-23,4222,4296,4153,4278,7259
2022-08-24,4258,4385,4095,4347,12294
2022-08-25,4344,4383,4282,4304,6201
2022-08-26,4299,4354,4215,4225,4012
2022-08-29,4269,4303,4216,4235,7289
2022-08-30,4266,4276,4167,4203,9532
2022-09-01,4283,4283,4044,4046,6455
2022-09-02,4044,4068,3892,3960,6817
2022-09-05,4020,4034,3935,3957,5021
2022-09-06,3963,4000,3816,3853,6064
2022-09-07,3869,3903,3719,3765,15729
2022-09-08,3762,3802,3559,3628,10906
2022-09-09,3631,3765,3630,3681,8868
2022-09-12,3671,3771,3671,3765,4276
2022-09-13,3762,3988,3747,3981,8510
2022-09-14,3932,4002,3879,3971,9173
2022-09-15,3949,3962,3805,3848,7705
2022-09-19,3889,3931,3711,3733,13284
2022-09-20,3762,3824,3666,3770,9828
2022-09-21,3753,3944,3688,3917,10852
2022-09-22,3894,3915,3828,3858,9151
2022-09-23,3862,3886,3758,3760,10310
2022-09-26,3615,3647,3461,3573,12382
2022-09-27,3586,3620,3477,3561,10488
2022-09-28,3569,3591,3263,3270,17417
2022-09-29,3312,3440,3272,3380,16168
2022-09-30,3403,3491,3341,3460,12960
2022-10-03,3380,3505,3368,3467,6945
2022-10-04,3479,3683,3479,3671,12656
2022-10-05,3690,3854,3657,3687,11240
2022-10-06,3673,3845,3665,3737,10253
2022-10-07,3731,3884,3731,3874,10785
2022-10-11,3830,3854,3714,3727,16325
2022-10-12,3752,3826,3730,3773,16205
2022-10-13,3762,3820,3698,3700,14479
2022-10-14,3639,3925,3633,3868,20332
2022-10-17,3873,3898,3776,3878,23873
2022-10-18,3900,4084,3887,4005,46364
2022-10-19,4054,4165,4013,4120,42105
2022-10-20,4098,4196,4050,4100,37902
2022-10-21,4127,4179,4052,4100,27213
2022-10-25,4170,4263,4080,4129,32522
2022-10-26,4126,4235,4087,4107,35325
2022-10-27,4133,4255,4130,4151,30639
2022-10-28,4172,4189,3968,3987,35395
2022-10-31,4073,4189,4011,4047,31079
2022-11-01,4037,4298,4037,4241,35909
2022-11-02,4290,4450,4249,4400,28666
2022-11-03,4340,4497,4335,4336,27829
2022-11-04,4324,4473,4270,4365,28196
2022-11-07,4316,4449,4300,4440,19552
2022-11-08,4433,4458,4350,4368,19799
2022-11-09,4366,4403,4185,4196,27329
2022-11-10,4180,4275,4086,4180,28322
2022-11-11,4163,4333,4163,4290,26116
2022-11-14,4221,4293,4106,4108,24524
2022-11-15,4112,4176,4003,4030,25331
2022-11-16,4043,4085,3980,3990,10749
2022-11-17,3976,3981,3800,3828,13096
2022-11-21,3812,3890,3769,3828,10217
2022-11-22,3854,3992,3795,3975,7163
2022-11-23,3991,4096,3951,4073,8243
2022-11-24,4037,4185,3992,4023,4992
2022-11-25,4022,4125,3996,4112,3556
2022-11-29,4154,4246,4148,4192,6600
2022-11-30,4220,4229,4139,4193,8117
2022-12-01,4207,4249,4025,4048,7394
2022-12-02,4063,4118,3900,3933,7663
2022-12-05,4022,4062,3891,3923,7740
2022-12-06,3927,4075,3830,4053,6544
2022-12-07,4030,4073,3910,3939,4708
2022-12-08,3973,3999,3840,3916,2866
2022-12-09,3928,4000,3911,3951,4587
2022-12-12,3825,3836,3690,3704,3739
2022-12-13,3726,3905,3711,3850,4473
2022-12-14,3898,3961,3873,3910,3052
2022-12-15,3909,3947,3838,3846,1572
2022-12-16,3854,3950,3829,3868,1941
2022-12-19,3904,3920,3855,3883,471
2022-12-20,3890,3931,3813,3839,2428
2022-12-21,3821,3935,3819,3915,1286
2022-12-22,3925,3939,3818,3864,1791
2022-12-23,3822,3833,3791,3803,1043
2022-12-27,3950,4085,3950,4070,2580
2022-12-28,4060,4102,4042,4070,1135
2022-12-29,4043,4086,4000,4078,780
2022-12-30,4095,4225,4060,4173,1202
2023-01-03,4150,4265,4150,4265,772
2023-01-04,4223,4240,4161,4210,365
2023-01-05,4168,4168,4070,4094,315
2023-01-06,4081,4098,3934,3934,33
2023-01-09,3955,4000,3895,4000,90
2023-01-10,3868,3910,3815,3910,33
2023-01-11,3815,3815,3800,3800,9
2023-01-12,3800,3810,3800,3800,40
