instrument,group,era,shape,duration_bucket,horizon,n_signals,reversion_rate_pct,continuation_rate_pct,anti_rev_depth_z,time_to_turn_days,half_life_days,net_directional_bias_pct,low_n_flag
BF_M2M3M4,live-9,full,C,mid,10,15,93.33,46.67,2.226,3.0,1.5,43.33,LOW-N
BF_M2M3M4,live-9,full,C,mid,20,14,100.0,71.43,2.343,9.0,2.0,50.0,LOW-N
BF_M2M3M4,live-9,full,F,early,5,8,50.0,37.5,2.688,4.0,2.0,0.0,LOW-N
BF_M2M3M4,live-9,full,F,early,10,8,50.0,50.0,2.753,6.5,2.0,0.0,LOW-N
BF_M2M3M4,live-9,full,F,early,20,8,100.0,87.5,2.85,9.0,2.5,50.0,LOW-N
BF_M2M3M4,live-9,full,F,established,5,0,,,,,,,
BF_M2M3M4,live-9,full,F,established,10,0,,,,,,,
BF_M2M3M4,live-9,full,F,established,20,0,,,,,,,
BF_M2M3M4,live-9,full,F,mid,5,12,83.33,41.67,2.336,2.0,1.5,33.33,LOW-N
BF_M2M3M4,live-9,full,F,mid,10,12,83.33,41.67,2.45,3.0,1.5,33.33,LOW-N
BF_M2M3M4,live-9,full,F,mid,20,12,91.67,41.67,2.474,3.0,2.0,41.67,LOW-N
BF_M2M3M4,live-9,full,MB,early,5,17,0.0,17.65,2.516,3.0,,-50.0,LOW-N
BF_M2M3M4,live-9,full,MB,early,10,17,29.41,17.65,2.516,3.0,7.0,-20.59,LOW-N
BF_M2M3M4,live-9,full,MB,early,20,17,100.0,29.41,2.315,5.0,8.0,50.0,LOW-N
BF_M2M3M4,live-9,full,MB,established,5,1,0.0,0.0,,,,-50.0,LOW-N
BF_M2M3M4,live-9,full,MB,established,10,1,0.0,0.0,,,,-50.0,LOW-N
BF_M2M3M4,live-9,full,MB,established,20,1,0.0,0.0,,,,-50.0,LOW-N
BF_M2M3M4,live-9,full,MB,mid,5,23,34.78,39.13,2.081,2.0,2.0,-15.22,
BF_M2M3M4,live-9,full,MB,mid,10,23,39.13,47.83,2.027,2.0,2.0,-10.87,
BF_M2M3M4,live-9,full,MB,mid,20,23,60.87,52.17,2.136,2.5,4.0,10.87,
BF_M2M3M4,live-9,full,SB,early,5,18,22.22,66.67,2.749,4.0,2.5,-27.78,LOW-N
BF_M2M3M4,live-9,full,SB,early,10,18,55.56,77.78,2.871,5.0,5.5,5.56,LOW-N
BF_M2M3M4,live-9,full,SB,early,20,18,88.89,83.33,2.834,5.0,7.5,38.89,LOW-N
BF_M2M3M4,live-9,full,SB,established,5,56,35.71,50.0,2.675,3.0,3.0,-14.29,
BF_M2M3M4,live-9,full,SB,established,10,56,50.0,58.93,2.792,4.0,3.0,0.0,
BF_M2M3M4,live-9,full,SB,established,20,56,71.43,71.43,2.866,10.5,3.0,21.43,
BF_M2M3M4,live-9,full,SB,mid,5,69,62.32,27.54,2.417,1.0,2.0,12.32,
BF_M2M3M4,live-9,full,SB,mid,10,69,82.61,39.13,2.507,3.0,2.0,32.61,
BF_M2M3M4,live-9,full,SB,mid,20,69,91.3,47.83,2.574,9.0,2.0,41.3,
BF_M2M3M4,live-9,full,TB,early,5,6,0.0,33.33,2.61,1.5,,-50.0,LOW-N
BF_M2M3M4,live-9,full,TB,early,10,6,33.33,66.67,3.051,4.0,6.5,-16.67,LOW-N
BF_M2M3M4,live-9,full,TB,early,20,6,50.0,83.33,3.069,7.0,7.0,0.0,LOW-N
BF_M2M3M4,live-9,full,TB,established,5,3,0.0,33.33,2.412,2.0,,-50.0,LOW-N
BF_M2M3M4,live-9,full,TB,established,10,3,33.33,33.33,2.412,2.0,1.0,-16.67,LOW-N
BF_M2M3M4,live-9,full,TB,established,20,3,100.0,33.33,2.412,2.0,2.0,50.0,LOW-N
BF_M2M3M4,live-9,full,TB,mid,5,8,50.0,37.5,2.425,2.0,1.5,0.0,LOW-N
BF_M2M3M4,live-9,full,TB,mid,10,8,50.0,62.5,2.501,3.0,1.5,0.0,LOW-N
BF_M2M3M4,live-9,full,TB,mid,20,8,87.5,75.0,2.398,4.5,1.0,37.5,LOW-N
BF_M3M4M5,live-9,full,C,early,5,8,25.0,0.0,,,2.5,-25.0,LOW-N
BF_M3M4M5,live-9,full,C,early,10,8,37.5,0.0,,,3.0,-12.5,LOW-N
BF_M3M4M5,live-9,full,C,early,20,8,87.5,12.5,2.516,13.0,8.0,37.5,LOW-N
BF_M3M4M5,live-9,full,C,established,5,134,33.58,51.49,2.47,2.0,2.0,-16.42,
BF_M3M4M5,live-9,full,C,established,10,134,65.67,55.22,2.495,2.0,3.0,15.67,
BF_M3M4M5,live-9,full,C,established,20,132,87.88,68.18,2.655,4.0,4.0,37.88,
BF_M3M4M5,live-9,full,C,mid,5,28,50.0,39.29,2.194,2.0,1.0,0.0,
BF_M3M4M5,live-9,full,C,mid,10,28,64.29,42.86,2.271,2.5,1.5,14.29,
BF_M3M4M5,live-9,full,C,mid,20,26,88.46,42.31,2.323,3.0,2.0,38.46,
BF_M3M4M5,live-9,full,F,early,5,9,33.33,11.11,2.109,3.0,1.0,-16.67,LOW-N
BF_M3M4M5,live-9,full,F,early,10,9,44.44,22.22,2.024,4.5,1.0,-5.56,LOW-N
BF_M3M4M5,live-9,full,F,early,20,9,100.0,55.56,2.216,18.0,2.0,50.0,LOW-N
BF_M3M4M5,live-9,full,F,established,5,0,,,,,,,
BF_M3M4M5,live-9,full,F,established,10,0,,,,,,,
BF_M3M4M5,live-9,full,F,established,20,0,,,,,,,
BF_M3M4M5,live-9,full,F,mid,5,9,88.89,44.44,2.606,2.5,1.0,38.89,LOW-N
BF_M3M4M5,live-9,full,F,mid,10,9,88.89,44.44,2.606,2.5,1.0,38.89,LOW-N
BF_M3M4M5,live-9,full,F,mid,20,9,100.0,44.44,2.606,2.5,1.0,50.0,LOW-N
BF_M3M4M5,live-9,full,MB,early,5,13,15.38,15.38,2.136,1.0,2.5,-34.62,LOW-N
BF_M3M4M5,live-9,full,MB,early,10,13,61.54,15.38,2.136,1.0,6.0,11.54,LOW-N
BF_M3M4M5,live-9,full,MB,early,20,13,100.0,23.08,2.522,1.0,5.0,50.0,LOW-N
BF_M3M4M5,live-9,full,MB,established,5,0,,,,,,,
BF_M3M4M5,live-9,full,MB,established,10,0,,,,,,,
BF_M3M4M5,live-9,full,MB,established,20,0,,,,,,,
BF_M3M4M5,live-9,full,MB,mid,5,23,34.78,21.74,2.022,1.0,1.0,-15.22,
BF_M3M4M5,live-9,full,MB,mid,10,23,34.78,26.09,2.076,1.5,1.0,-15.22,
BF_M3M4M5,live-9,full,MB,mid,20,23,65.22,47.83,2.193,12.0,3.0,15.22,
BF_M3M4M5,live-9,full,SB,early,5,22,18.18,31.82,2.536,3.0,2.5,-31.82,
BF_M3M4M5,live-9,full,SB,early,10,22,36.36,36.36,2.468,3.5,4.0,-13.64,
BF_M3M4M5,live-9,full,SB,early,20,22,77.27,45.45,2.551,4.5,6.0,27.27,
BF_M3M4M5,live-9,full,SB,established,5,51,41.18,37.25,2.042,1.0,2.0,-8.82,
BF_M3M4M5,live-9,full,SB,established,10,51,64.71,47.06,2.257,2.0,2.0,14.71,
BF_M3M4M5,live-9,full,SB,established,20,51,82.35,60.78,2.263,6.0,2.0,32.35,
BF_M3M4M5,live-9,full,SB,mid,5,70,47.14,37.14,2.247,2.0,2.0,-2.86,
BF_M3M4M5,live-9,full,SB,mid,10,70,64.29,42.86,2.393,2.0,2.0,14.29,
BF_M3M4M5,live-9,full,SB,mid,20,70,84.29,54.29,2.456,5.5,3.0,34.29,
BF_M3M4M5,live-9,full,TB,early,5,7,0.0,14.29,1.772,1.0,,-50.0,LOW-N
BF_M3M4M5,live-9,full,TB,early,10,7,28.57,14.29,1.772,1.0,6.0,-21.43,LOW-N
BF_M3M4M5,live-9,full,TB,early,20,7,57.14,14.29,1.772,1.0,11.5,7.14,LOW-N
BF_M3M4M5,live-9,full,TB,established,5,3,0.0,33.33,2.209,1.0,,-50.0,LOW-N
BF_M3M4M5,live-9,full,TB,established,10,3,0.0,33.33,2.209,1.0,,-50.0,LOW-N
BF_M3M4M5,live-9,full,TB,established,20,3,100.0,100.0,2.444,18.0,1.0,50.0,LOW-N
BF_M3M4M5,live-9,full,TB,mid,5,13,46.15,30.77,2.266,1.5,2.0,-3.85,LOW-N
BF_M3M4M5,live-9,full,TB,mid,10,13,46.15,38.46,2.328,5.0,2.0,-3.85,LOW-N
BF_M3M4M5,live-9,full,TB,mid,20,13,76.92,84.62,2.514,16.0,2.5,26.92,LOW-N
BF_M4M5M6,live-9,full,C,early,5,8,75.0,25.0,1.958,4.5,2.0,25.0,LOW-N
BF_M4M5M6,live-9,full,C,early,10,8,100.0,62.5,2.12,7.0,3.0,50.0,LOW-N
BF_M4M5M6,live-9,full,C,early,20,8,100.0,75.0,2.148,7.0,3.0,50.0,LOW-N
BF_M4M5M6,live-9,full,C,established,5,107,21.5,47.66,2.127,2.0,2.0,-28.5,
BF_M4M5M6,live-9,full,C,established,10,107,41.12,57.94,2.208,4.0,3.0,-8.88,
BF_M4M5M6,live-9,full,C,established,20,107,78.5,67.29,2.434,6.0,5.0,28.5,
BF_M4M5M6,live-9,full,C,mid,5,17,29.41,29.41,2.124,1.0,1.0,-20.59,LOW-N
BF_M4M5M6,live-9,full,C,mid,10,17,41.18,35.29,2.05,1.5,1.0,-8.82,LOW-N
BF_M4M5M6,live-9,full,C,mid,20,17,64.71,35.29,2.05,1.5,2.0,14.71,LOW-N
BF_M4M5M6,live-9,full,F,early,5,8,25.0,25.0,1.804,1.0,1.5,-25.0,LOW-N
BF_M4M5M6,live-9,full,F,early,10,8,37.5,37.5,2.245,8.0,2.0,-12.5,LOW-N
BF_M4M5M6,live-9,full,F,early,20,8,100.0,62.5,2.317,16.0,5.0,50.0,LOW-N
BF_M4M5M6,live-9,full,F,established,5,0,,,,,,,
BF_M4M5M6,live-9,full,F,established,10,0,,,,,,,
BF_M4M5M6,live-9,full,F,established,20,0,,,,,,,
BF_M4M5M6,live-9,full,F,mid,5,10,50.0,10.0,2.33,2.0,1.0,0.0,LOW-N
BF_M4M5M6,live-9,full,F,mid,10,10,50.0,10.0,2.33,2.0,1.0,0.0,LOW-N
BF_M4M5M6,live-9,full,F,mid,20,10,80.0,10.0,2.33,2.0,1.0,30.0,LOW-N
BF_M4M5M6,live-9,full,MB,early,5,1,100.0,0.0,,,1.0,50.0,LOW-N
BF_M4M5M6,live-9,full,MB,early,10,1,100.0,0.0,,,1.0,50.0,LOW-N
BF_M4M5M6,live-9,full,MB,early,20,1,100.0,0.0,,,1.0,50.0,LOW-N
BF_M4M5M6,live-9,full,MB,established,5,0,,,,,,,
BF_M4M5M6,live-9,full,MB,established,10,0,,,,,,,
BF_M4M5M6,live-9,full,MB,established,20,0,,,,,,,
BF_M4M5M6,live-9,full,MB,mid,5,9,66.67,0.0,,,1.0,16.67,LOW-N
BF_M4M5M6,live-9,full,MB,mid,10,9,66.67,11.11,2.352,10.0,1.0,16.67,LOW-N
BF_M4M5M6,live-9,full,MB,mid,20,9,77.78,22.22,2.352,13.5,1.0,27.78,LOW-N
BF_M4M5M6,live-9,full,SB,early,5,11,18.18,27.27,2.296,2.0,2.0,-31.82,LOW-N
BF_M4M5M6,live-9,full,SB,early,10,11,45.45,36.36,2.217,2.5,3.0,-4.55,LOW-N
BF_M4M5M6,live-9,full,SB,early,20,11,81.82,54.55,2.116,5.5,2.0,31.82,LOW-N
BF_M4M5M6,live-9,full,SB,established,5,52,50.0,36.54,2.329,2.0,1.5,0.0,
BF_M4M5M6,live-9,full,SB,established,10,52,71.15,44.23,2.333,3.0,2.0,21.15,
BF_M4M5M6,live-9,full,SB,established,20,52,82.69,53.85,2.357,4.5,2.0,32.69,
BF_M4M5M6,live-9,full,SB,mid,5,53,45.28,24.53,2.48,2.0,1.5,-4.72,
BF_M4M5M6,live-9,full,SB,mid,10,53,52.83,30.19,2.37,3.5,2.0,2.83,
BF_M4M5M6,live-9,full,SB,mid,20,53,79.25,56.6,2.458,11.5,2.0,29.25,
BF_M4M5M6,live-9,full,TB,early,5,3,0.0,33.33,1.714,4.0,,-50.0,LOW-N
BF_M4M5M6,live-9,full,TB,early,10,3,0.0,33.33,1.714,4.0,,-50.0,LOW-N
BF_M4M5M6,live-9,full,TB,early,20,3,0.0,33.33,1.714,4.0,,-50.0,LOW-N
BF_M4M5M6,live-9,full,TB,established,5,1,100.0,0.0,,,2.0,50.0,LOW-N
BF_M4M5M6,live-9,full,TB,established,10,1,100.0,0.0,,,2.0,50.0,LOW-N
BF_M4M5M6,live-9,full,TB,established,20,1,100.0,0.0,,,2.0,50.0,LOW-N
BF_M4M5M6,live-9,full,TB,mid,5,6,50.0,16.67,2.447,2.0,2.0,0.0,LOW-N
BF_M4M5M6,live-9,full,TB,mid,10,6,50.0,50.0,2.394,8.0,2.0,0.0,LOW-N
BF_M4M5M6,live-9,full,TB,mid,20,6,100.0,66.67,2.368,9.0,8.0,50.0,LOW-N
M6-M7,back-month-5,2008-2017,C,early,5,0,,,,,,,
M6-M7,back-month-5,2008-2017,C,early,10,0,,,,,,,
M6-M7,back-month-5,2008-2017,C,early,20,0,,,,,,,
M6-M7,back-month-5,2008-2017,C,established,5,32,18.75,40.62,2.178,2.0,1.0,-31.25,
M6-M7,back-month-5,2008-2017,C,established,10,32,34.38,46.88,2.222,2.0,2.0,-15.62,
M6-M7,back-month-5,2008-2017,C,established,20,32,62.5,53.12,2.251,2.0,2.5,12.5,
M6-M7,back-month-5,2008-2017,C,mid,5,3,33.33,0.0,,,1.0,-16.67,LOW-N
M6-M7,back-month-5,2008-2017,C,mid,10,3,66.67,0.0,,,1.5,16.67,LOW-N
M6-M7,back-month-5,2008-2017,C,mid,20,3,66.67,0.0,,,1.5,16.67,LOW-N
M6-M7,back-month-5,2008-2017,F,early,5,0,,,,,,,
M6-M7,back-month-5,2008-2017,F,early,10,0,,,,,,,
M6-M7,back-month-5,2008-2017,F,early,20,0,,,,,,,
M6-M7,back-month-5,2008-2017,F,established,5,0,,,,,,,
M6-M7,back-month-5,2008-2017,F,established,10,0,,,,,,,
M6-M7,back-month-5,2008-2017,F,established,20,0,,,,,,,
M6-M7,back-month-5,2008-2017,F,mid,5,0,,,,,,,
M6-M7,back-month-5,2008-2017,F,mid,10,0,,,,,,,
M6-M7,back-month-5,2008-2017,F,mid,20,0,,,,,,,
M6-M7,back-month-5,2008-2017,MB,early,5,1,0.0,0.0,,,,-50.0,LOW-N
M6-M7,back-month-5,2008-2017,MB,early,10,1,0.0,0.0,,,,-50.0,LOW-N
M6-M7,back-month-5,2008-2017,MB,early,20,1,0.0,0.0,,,,-50.0,LOW-N
M6-M7,back-month-5,2008-2017,MB,established,5,0,,,,,,,
M6-M7,back-month-5,2008-2017,MB,established,10,0,,,,,,,
M6-M7,back-month-5,2008-2017,MB,established,20,0,,,,,,,
M6-M7,back-month-5,2008-2017,MB,mid,5,7,14.29,0.0,,,1.0,-35.71,LOW-N
M6-M7,back-month-5,2008-2017,MB,mid,10,7,14.29,0.0,,,1.0,-35.71,LOW-N
M6-M7,back-month-5,2008-2017,MB,mid,20,7,14.29,0.0,,,1.0,-35.71,LOW-N
M6-M7,back-month-5,2008-2017,SB,early,5,2,0.0,50.0,2.655,1.0,,-50.0,LOW-N
M6-M7,back-month-5,2008-2017,SB,early,10,2,0.0,50.0,2.655,1.0,,-50.0,LOW-N
M6-M7,back-month-5,2008-2017,SB,early,20,2,0.0,50.0,2.655,1.0,,-50.0,LOW-N
M6-M7,back-month-5,2008-2017,SB,established,5,12,75.0,8.33,2.071,1.0,1.0,25.0,LOW-N
M6-M7,back-month-5,2008-2017,SB,established,10,12,75.0,41.67,3.307,8.0,1.0,25.0,LOW-N
M6-M7,back-month-5,2008-2017,SB,established,20,12,75.0,58.33,3.065,9.0,1.0,25.0,LOW-N
M6-M7,back-month-5,2008-2017,SB,mid,5,5,60.0,0.0,,,1.0,10.0,LOW-N
M6-M7,back-month-5,2008-2017,SB,mid,10,5,60.0,0.0,,,1.0,10.0,LOW-N
M6-M7,back-month-5,2008-2017,SB,mid,20,5,60.0,0.0,,,1.0,10.0,LOW-N
M6-M7,back-month-5,2008-2017,TB,early,5,0,,,,,,,
M6-M7,back-month-5,2008-2017,TB,early,10,0,,,,,,,
M6-M7,back-month-5,2008-2017,TB,early,20,0,,,,,,,
M6-M7,back-month-5,2008-2017,TB,established,5,0,,,,,,,
M6-M7,back-month-5,2008-2017,TB,established,10,0,,,,,,,
M6-M7,back-month-5,2008-2017,TB,established,20,0,,,,,,,
M6-M7,back-month-5,2008-2017,TB,mid,5,3,0.0,33.33,2.024,1.0,,-50.0,LOW-N
M6-M7,back-month-5,2008-2017,TB,mid,10,3,0.0,33.33,2.024,1.0,,-50.0,LOW-N
M6-M7,back-month-5,2008-2017,TB,mid,20,3,0.0,33.33,2.024,1.0,,-50.0,LOW-N
M6-M7,back-month-5,2018+,C,early,5,0,,,,,,,
M6-M7,back-month-5,2018+,C,early,10,0,,,,,,,
M6-M7,back-month-5,2018+,C,early,20,0,,,,,,,
M6-M7,back-month-5,2018+,C,established,5,146,4.11,59.59,2.433,3.0,1.0,-45.89,
M6-M7,back-month-5,2018+,C,established,10,146,10.27,69.86,2.522,4.0,2.0,-39.73,
M6-M7,back-month-5,2018+,C,established,20,146,26.71,74.66,2.566,6.0,6.0,-23.29,
M6-M7,back-month-5,2018+,C,mid,5,8,37.5,12.5,2.26,2.0,1.0,-12.5,LOW-N
M6-M7,back-month-5,2018+,C,mid,10,8,50.0,12.5,2.26,2.0,1.5,0.0,LOW-N
M6-M7,back-month-5,2018+,C,mid,20,8,62.5,25.0,1.923,10.0,2.0,12.5,LOW-N
M6-M7,back-month-5,2018+,F,early,5,0,,,,,,,
M6-M7,back-month-5,2018+,F,early,10,0,,,,,,,
M6-M7,back-month-5,2018+,F,early,20,0,,,,,,,
M6-M7,back-month-5,2018+,F,established,5,0,,,,,,,
M6-M7,back-month-5,2018+,F,established,10,0,,,,,,,
M6-M7,back-month-5,2018+,F,established,20,0,,,,,,,
M6-M7,back-month-5,2018+,F,mid,5,8,37.5,25.0,2.283,2.5,1.0,-12.5,LOW-N
M6-M7,back-month-5,2018+,F,mid,10,8,62.5,25.0,2.283,2.5,2.0,12.5,LOW-N
M6-M7,back-month-5,2018+,F,mid,20,8,87.5,25.0,2.283,2.5,5.0,37.5,LOW-N
M6-M7,back-month-5,2018+,MB,early,5,0,,,,,,,
M6-M7,back-month-5,2018+,MB,early,10,0,,,,,,,
M6-M7,back-month-5,2018+,MB,early,20,0,,,,,,,
M6-M7,back-month-5,2018+,MB,established,5,1,0.0,0.0,,,,-50.0,LOW-N
M6-M7,back-month-5,2018+,MB,established,10,1,0.0,100.0,1.833,10.0,,-50.0,LOW-N
M6-M7,back-month-5,2018+,MB,established,20,1,0.0,100.0,2.696,11.0,,-50.0,LOW-N
M6-M7,back-month-5,2018+,MB,mid,5,9,55.56,33.33,2.128,1.0,1.0,5.56,LOW-N
M6-M7,back-month-5,2018+,MB,mid,10,9,66.67,33.33,2.128,1.0,1.5,16.67,LOW-N
M6-M7,back-month-5,2018+,MB,mid,20,9,66.67,44.44,2.362,10.5,1.5,16.67,LOW-N
M6-M7,back-month-5,2018+,SB,early,5,0,,,,,,,
M6-M7,back-month-5,2018+,SB,early,10,0,,,,,,,
M6-M7,back-month-5,2018+,SB,early,20,0,,,,,,,
M6-M7,back-month-5,2018+,SB,established,5,79,10.13,46.84,2.502,2.0,1.0,-39.87,
M6-M7,back-month-5,2018+,SB,established,10,79,20.25,53.16,2.637,3.0,3.0,-29.75,
M6-M7,back-month-5,2018+,SB,established,20,79,40.51,55.7,2.712,3.0,4.0,-9.49,
M6-M7,back-month-5,2018+,SB,mid,5,37,51.35,37.84,2.223,2.0,2.0,1.35,
M6-M7,back-month-5,2018+,SB,mid,10,37,51.35,48.65,2.253,4.0,2.0,1.35,
M6-M7,back-month-5,2018+,SB,mid,20,37,70.27,59.46,2.37,6.5,2.0,20.27,
M6-M7,back-month-5,2018+,TB,early,5,0,,,,,,,
M6-M7,back-month-5,2018+,TB,early,10,0,,,,,,,
M6-M7,back-month-5,2018+,TB,early,20,0,,,,,,,
M6-M7,back-month-5,2018+,TB,established,5,2,0.0,0.0,,,,-50.0,LOW-N
M6-M7,back-month-5,2018+,TB,established,10,2,0.0,50.0,2.533,10.0,,-50.0,LOW-N
M6-M7,back-month-5,2018+,TB,established,20,2,100.0,100.0,2.533,11.0,13.0,50.0,LOW-N
M6-M7,back-month-5,2018+,TB,mid,5,0,,,,,,,
M6-M7,back-month-5,2018+,TB,mid,10,0,,,,,,,
M6-M7,back-month-5,2018+,TB,mid,20,0,,,,,,,
M7-M8,back-month-5,2018+,C,early,5,0,,,,,,,
M7-M8,back-month-5,2018+,C,early,10,0,,,,,,,
M7-M8,back-month-5,2018+,C,early,20,0,,,,,,,
M7-M8,back-month-5,2018+,C,established,5,136,10.29,54.41,2.443,2.0,2.0,-39.71,
M7-M8,back-month-5,2018+,C,established,10,134,15.67,57.46,2.497,3.0,2.0,-34.33,
M7-M8,back-month-5,2018+,C,established,20,132,37.12,68.18,2.552,4.0,4.0,-12.88,
M7-M8,back-month-5,2018+,C,mid,5,19,47.37,31.58,2.142,2.5,1.0,-2.63,LOW-N
M7-M8,back-month-5,2018+,C,mid,10,19,52.63,36.84,2.112,3.0,1.0,2.63,LOW-N
M7-M8,back-month-5,2018+,C,mid,20,19,78.95,52.63,2.184,5.0,2.0,28.95,LOW-N
M7-M8,back-month-5,2018+,F,early,5,0,,,,,,,
M7-M8,back-month-5,2018+,F,early,10,0,,,,,,,
M7-M8,back-month-5,2018+,F,early,20,0,,,,,,,
M7-M8,back-month-5,2018+,F,established,5,0,,,,,,,
M7-M8,back-month-5,2018+,F,established,10,0,,,,,,,
M7-M8,back-month-5,2018+,F,established,20,0,,,,,,,
M7-M8,back-month-5,2018+,F,mid,5,7,57.14,28.57,2.344,3.0,2.0,7.14,LOW-N
M7-M8,back-month-5,2018+,F,mid,10,7,71.43,28.57,2.344,3.0,2.0,21.43,LOW-N
M7-M8,back-month-5,2018+,F,mid,20,7,85.71,28.57,2.344,3.0,3.0,35.71,LOW-N
M7-M8,back-month-5,2018+,MB,early,5,0,,,,,,,
M7-M8,back-month-5,2018+,MB,early,10,0,,,,,,,
M7-M8,back-month-5,2018+,MB,early,20,0,,,,,,,
M7-M8,back-month-5,2018+,MB,established,5,0,,,,,,,
M7-M8,back-month-5,2018+,MB,established,10,0,,,,,,,
M7-M8,back-month-5,2018+,MB,established,20,0,,,,,,,
M7-M8,back-month-5,2018+,MB,mid,5,11,45.45,36.36,1.962,1.0,3.0,-4.55,LOW-N
M7-M8,back-month-5,2018+,MB,mid,10,11,54.55,36.36,1.962,1.0,3.5,4.55,LOW-N
M7-M8,back-month-5,2018+,MB,mid,20,11,63.64,63.64,2.014,17.0,4.0,13.64,LOW-N
M7-M8,back-month-5,2018+,SB,early,5,0,,,,,,,
M7-M8,back-month-5,2018+,SB,early,10,0,,,,,,,
M7-M8,back-month-5,2018+,SB,early,20,0,,,,,,,
M7-M8,back-month-5,2018+,SB,established,5,81,12.35,54.32,2.296,2.5,2.0,-37.65,
M7-M8,back-month-5,2018+,SB,established,10,81,19.75,60.49,2.335,3.0,2.5,-30.25,
M7-M8,back-month-5,2018+,SB,established,20,81,40.74,65.43,2.386,4.0,8.0,-9.26,
M7-M8,back-month-5,2018+,SB,mid,5,43,34.88,48.84,2.279,3.0,2.0,-15.12,
M7-M8,back-month-5,2018+,SB,mid,10,43,53.49,53.49,2.344,3.0,2.0,3.49,
M7-M8,back-month-5,2018+,SB,mid,20,43,74.42,62.79,2.386,5.0,4.0,24.42,
M7-M8,back-month-5,2018+,TB,early,5,0,,,,,,,
M7-M8,back-month-5,2018+,TB,early,10,0,,,,,,,
M7-M8,back-month-5,2018+,TB,early,20,0,,,,,,,
M7-M8,back-month-5,2018+,TB,established,5,2,0.0,50.0,2.291,1.0,,-50.0,LOW-N
M7-M8,back-month-5,2018+,TB,established,10,2,0.0,50.0,2.291,1.0,,-50.0,LOW-N
M7-M8,back-month-5,2018+,TB,established,20,2,100.0,50.0,2.291,1.0,15.5,50.0,LOW-N
M7-M8,back-month-5,2018+,TB,mid,5,0,,,,,,,
M7-M8,back-month-5,2018+,TB,mid,10,0,,,,,,,
M7-M8,back-month-5,2018+,TB,mid,20,0,,,,,,,
M8-M9,back-month-5,2018+,C,early,5,0,,,,,,,
M8-M9,back-month-5,2018+,C,early,10,0,,,,,,,
M8-M9,back-month-5,2018+,C,early,20,0,,,,,,,
M8-M9,back-month-5,2018+,C,established,5,108,25.93,56.48,2.468,3.0,1.0,-24.07,
M8-M9,back-month-5,2018+,C,established,10,105,32.38,65.71,2.491,3.0,2.0,-17.62,
M8-M9,back-month-5,2018+,C,established,20,104,59.62,75.0,2.568,5.0,4.5,9.62,
M8-M9,back-month-5,2018+,C,mid,5,16,50.0,25.0,2.275,1.0,1.0,0.0,LOW-N
M8-M9,back-month-5,2018+,C,mid,10,16,56.25,25.0,2.275,1.0,1.0,6.25,LOW-N
M8-M9,back-month-5,2018+,C,mid,20,16,93.75,50.0,2.317,13.5,3.0,43.75,LOW-N
M8-M9,back-month-5,2018+,F,early,5,0,,,,,,,
M8-M9,back-month-5,2018+,F,early,10,0,,,,,,,
M8-M9,back-month-5,2018+,F,early,20,0,,,,,,,
M8-M9,back-month-5,2018+,F,established,5,0,,,,,,,
M8-M9,back-month-5,2018+,F,established,10,0,,,,,,,
M8-M9,back-month-5,2018+,F,established,20,0,,,,,,,
M8-M9,back-month-5,2018+,F,mid,5,5,60.0,40.0,1.831,2.0,2.0,10.0,LOW-N
M8-M9,back-month-5,2018+,F,mid,10,5,60.0,40.0,1.831,2.0,2.0,10.0,LOW-N
M8-M9,back-month-5,2018+,F,mid,20,5,60.0,60.0,1.832,3.0,2.0,10.0,LOW-N
M8-M9,back-month-5,2018+,MB,early,5,0,,,,,,,
M8-M9,back-month-5,2018+,MB,early,10,0,,,,,,,
M8-M9,back-month-5,2018+,MB,early,20,0,,,,,,,
M8-M9,back-month-5,2018+,MB,established,5,0,,,,,,,
M8-M9,back-month-5,2018+,MB,established,10,0,,,,,,,
M8-M9,back-month-5,2018+,MB,established,20,0,,,,,,,
M8-M9,back-month-5,2018+,MB,mid,5,13,46.15,15.38,2.865,1.0,1.0,-3.85,LOW-N
M8-M9,back-month-5,2018+,MB,mid,10,13,53.85,23.08,2.508,1.0,1.0,3.85,LOW-N
M8-M9,back-month-5,2018+,MB,mid,20,13,92.31,38.46,2.296,6.0,1.5,42.31,LOW-N
M8-M9,back-month-5,2018+,SB,early,5,0,,,,,,,
M8-M9,back-month-5,2018+,SB,early,10,0,,,,,,,
M8-M9,back-month-5,2018+,SB,early,20,0,,,,,,,
M8-M9,back-month-5,2018+,SB,established,5,58,18.97,53.45,2.262,3.0,3.0,-31.03,
M8-M9,back-month-5,2018+,SB,established,10,58,31.03,56.9,2.354,3.0,3.5,-18.97,
M8-M9,back-month-5,2018+,SB,established,20,58,50.0,68.97,2.509,5.5,6.0,0.0,
M8-M9,back-month-5,2018+,SB,mid,5,37,43.24,37.84,2.106,2.0,1.0,-6.76,
M8-M9,back-month-5,2018+,SB,mid,10,37,70.27,43.24,2.186,2.5,2.0,20.27,
M8-M9,back-month-5,2018+,SB,mid,20,37,86.49,56.76,2.174,4.0,3.0,36.49,
M8-M9,back-month-5,2018+,TB,early,5,0,,,,,,,
M8-M9,back-month-5,2018+,TB,early,10,0,,,,,,,
M8-M9,back-month-5,2018+,TB,early,20,0,,,,,,,
M8-M9,back-month-5,2018+,TB,established,5,4,0.0,25.0,2.401,1.0,,-50.0,LOW-N
