instrument,group,era,shape,duration_bucket,horizon,n_signals,reversion_rate_pct,continuation_rate_pct,anti_rev_depth_z,time_to_turn_days,half_life_days,net_directional_bias_pct,low_n_flag
M2-M3,live-9,full,F,established,5,0,,,,,,,
M2-M3,live-9,full,F,established,10,0,,,,,,,
M2-M3,live-9,full,F,established,20,0,,,,,,,
M2-M3,live-9,full,F,mid,5,16,18.75,31.25,2.33,1.0,1.0,-31.25,LOW-N
M2-M3,live-9,full,F,mid,10,16,31.25,37.5,2.44,2.0,1.0,-18.75,LOW-N
M2-M3,live-9,full,F,mid,20,16,37.5,56.25,2.757,3.0,5.0,-12.5,LOW-N
M2-M3,live-9,full,MB,early,5,19,0.0,15.79,1.658,2.0,,-50.0,LOW-N
M2-M3,live-9,full,MB,early,10,19,15.79,26.32,1.76,5.0,10.0,-34.21,LOW-N
M2-M3,live-9,full,MB,early,20,19,68.42,57.89,2.934,16.0,10.0,18.42,LOW-N
M2-M3,live-9,full,MB,established,5,3,0.0,0.0,,,,-50.0,LOW-N
M2-M3,live-9,full,MB,established,10,3,0.0,0.0,,,,-50.0,LOW-N
M2-M3,live-9,full,MB,established,20,3,33.33,0.0,,,13.0,-16.67,LOW-N
M2-M3,live-9,full,MB,mid,5,8,25.0,12.5,1.614,3.0,1.0,-25.0,LOW-N
M2-M3,live-9,full,MB,mid,10,8,37.5,50.0,2.012,8.5,1.0,-12.5,LOW-N
M2-M3,live-9,full,MB,mid,20,8,62.5,50.0,2.368,9.0,2.0,12.5,LOW-N
M2-M3,live-9,full,SB,early,5,42,9.52,19.05,2.735,3.5,4.0,-40.48,
M2-M3,live-9,full,SB,early,10,42,28.57,33.33,2.621,5.5,5.5,-21.43,
M2-M3,live-9,full,SB,early,20,42,57.14,40.48,2.65,7.0,7.0,7.14,
M2-M3,live-9,full,SB,established,5,32,12.5,43.75,2.625,1.5,1.5,-37.5,
M2-M3,live-9,full,SB,established,10,32,25.0,56.25,3.032,4.5,2.0,-25.0,
M2-M3,live-9,full,SB,established,20,32,56.25,56.25,3.25,4.5,5.5,6.25,
M2-M3,live-9,full,SB,mid,5,82,29.27,42.68,2.138,1.0,3.0,-20.73,
M2-M3,live-9,full,SB,mid,10,82,37.8,51.22,2.241,2.0,3.0,-12.2,
M2-M3,live-9,full,SB,mid,20,82,59.76,64.63,2.913,11.0,4.0,9.76,
M2-M3,live-9,full,TB,early,5,7,0.0,14.29,3.826,5.0,,-50.0,LOW-N
M2-M3,live-9,full,TB,early,10,7,0.0,42.86,3.826,6.0,,-50.0,LOW-N
M2-M3,live-9,full,TB,early,20,7,28.57,42.86,3.826,6.0,8.0,-21.43,LOW-N
M2-M3,live-9,full,TB,established,5,4,0.0,75.0,2.414,3.0,,-50.0,LOW-N
M2-M3,live-9,full,TB,established,10,4,50.0,75.0,2.414,3.0,9.5,0.0,LOW-N
M2-M3,live-9,full,TB,established,20,4,100.0,75.0,2.414,3.0,11.0,50.0,LOW-N
M2-M3,live-9,full,TB,mid,5,13,15.38,38.46,2.451,1.0,2.0,-34.62,LOW-N
M2-M3,live-9,full,TB,mid,10,13,15.38,61.54,2.379,2.0,2.0,-34.62,LOW-N
M2-M3,live-9,full,TB,mid,20,13,61.54,61.54,2.537,6.0,15.5,11.54,LOW-N
M3-M4,live-9,full,C,early,5,13,15.38,23.08,2.268,1.0,1.5,-34.62,LOW-N
M3-M4,live-9,full,C,early,10,13,38.46,46.15,2.404,7.0,7.0,-11.54,LOW-N
M3-M4,live-9,full,C,early,20,13,100.0,46.15,2.448,7.5,5.0,50.0,LOW-N
M3-M4,live-9,full,C,established,5,182,9.34,53.3,2.474,2.0,2.0,-40.66,
M3-M4,live-9,full,C,established,10,182,30.22,62.09,2.611,3.0,4.0,-19.78,
M3-M4,live-9,full,C,established,20,178,53.93,71.35,2.714,6.0,5.5,3.93,
M3-M4,live-9,full,C,mid,5,30,36.67,30.0,2.272,2.0,1.0,-13.33,
M3-M4,live-9,full,C,mid,10,30,60.0,33.33,2.301,3.0,2.0,10.0,
M3-M4,live-9,full,C,mid,20,28,78.57,46.43,2.618,15.0,2.5,28.57,
M3-M4,live-9,full,F,early,5,11,18.18,18.18,2.15,3.0,2.0,-31.82,LOW-N
M3-M4,live-9,full,F,early,10,11,27.27,36.36,2.047,5.5,3.0,-22.73,LOW-N
M3-M4,live-9,full,F,early,20,11,72.73,72.73,2.298,15.0,6.0,22.73,LOW-N
M3-M4,live-9,full,F,established,5,0,,,,,,,
M3-M4,live-9,full,F,established,10,0,,,,,,,
M3-M4,live-9,full,F,established,20,0,,,,,,,
M3-M4,live-9,full,F,mid,5,10,30.0,20.0,1.62,1.0,2.0,-20.0,LOW-N
M3-M4,live-9,full,F,mid,10,10,30.0,40.0,2.046,7.5,2.0,-20.0,LOW-N
M3-M4,live-9,full,F,mid,20,10,60.0,60.0,2.016,8.5,9.5,10.0,LOW-N
M3-M4,live-9,full,MB,early,5,22,0.0,13.64,2.074,3.0,,-50.0,
M3-M4,live-9,full,MB,early,10,22,13.64,13.64,2.333,5.0,9.0,-36.36,
M3-M4,live-9,full,MB,early,20,22,31.82,54.55,2.832,15.0,9.0,-18.18,
M3-M4,live-9,full,MB,established,5,0,,,,,,,
M3-M4,live-9,full,MB,established,10,0,,,,,,,
M3-M4,live-9,full,MB,established,20,0,,,,,,,
M3-M4,live-9,full,MB,mid,5,9,11.11,11.11,2.365,1.0,1.0,-38.89,LOW-N
M3-M4,live-9,full,MB,mid,10,9,11.11,33.33,2.281,7.0,1.0,-38.89,LOW-N
M3-M4,live-9,full,MB,mid,20,9,22.22,33.33,2.694,7.0,6.5,-27.78,LOW-N
M3-M4,live-9,full,SB,early,5,39,20.51,20.51,3.355,3.0,3.5,-29.49,
M3-M4,live-9,full,SB,early,10,39,35.9,41.03,2.897,6.5,4.5,-14.1,
M3-M4,live-9,full,SB,early,20,39,74.36,43.59,2.994,8.0,7.0,24.36,
M3-M4,live-9,full,SB,established,5,44,20.45,47.73,2.385,2.0,2.0,-29.55,
M3-M4,live-9,full,SB,established,10,44,34.09,54.55,2.633,2.5,3.0,-15.91,
M3-M4,live-9,full,SB,established,20,44,50.0,61.36,2.736,3.0,7.0,0.0,
M3-M4,live-9,full,SB,mid,5,65,43.08,46.15,2.207,2.0,2.0,-6.92,
M3-M4,live-9,full,SB,mid,10,65,58.46,50.77,2.257,3.0,3.0,8.46,
M3-M4,live-9,full,SB,mid,20,65,81.54,63.08,2.527,7.0,4.0,31.54,
M3-M4,live-9,full,TB,early,5,8,50.0,37.5,2.316,2.0,2.5,0.0,LOW-N
M3-M4,live-9,full,TB,early,10,8,75.0,37.5,2.316,2.0,3.5,25.0,LOW-N
M3-M4,live-9,full,TB,early,20,8,75.0,50.0,2.441,2.0,3.5,25.0,LOW-N
M3-M4,live-9,full,TB,established,5,3,66.67,66.67,2.327,4.5,1.5,16.67,LOW-N
M3-M4,live-9,full,TB,established,10,3,100.0,66.67,2.327,4.5,2.0,50.0,LOW-N
M3-M4,live-9,full,TB,established,20,3,100.0,66.67,2.327,4.5,2.0,50.0,LOW-N
M3-M4,live-9,full,TB,mid,5,10,30.0,60.0,2.541,1.5,1.0,-20.0,LOW-N
M3-M4,live-9,full,TB,mid,10,10,30.0,60.0,2.541,1.5,1.0,-20.0,LOW-N
M3-M4,live-9,full,TB,mid,20,10,90.0,60.0,2.541,1.5,15.0,40.0,LOW-N
M4-M5,live-9,full,C,early,5,11,27.27,36.36,2.58,1.0,3.0,-22.73,LOW-N
M4-M5,live-9,full,C,early,10,11,100.0,45.45,2.611,1.0,4.0,50.0,LOW-N
M4-M5,live-9,full,C,early,20,11,100.0,45.45,2.611,1.0,4.0,50.0,LOW-N
M4-M5,live-9,full,C,established,5,171,11.11,53.8,2.395,2.0,3.0,-38.89,
M4-M5,live-9,full,C,established,10,171,28.65,59.06,2.583,3.0,4.0,-21.35,
M4-M5,live-9,full,C,established,20,170,48.82,70.59,2.661,7.0,7.0,-1.18,
M4-M5,live-9,full,C,mid,5,29,41.38,44.83,2.163,1.0,2.0,-8.62,
