Timestamp (UTC),Open,High,Low,Close,FCPO Apr08: Volume
2007-10-15,2760,2762,2740,2740,0
2007-10-16,2700,2700,2690,2690,0
2007-10-17,2685,2685,2685,2685,0
2007-10-18,2745,2750,2745,2750,0
2007-10-22,2745,2750,2745,2750,0
2007-10-22,2650,2650,2650,2650,0
2007-10-23,2662,2662,2662,2662,0
2007-10-24,2662,2662,2662,2662,0
2007-10-25,2735,2735,2735,2735,0
2007-10-29,2865,2865,2865,2865,0
2007-10-29,2806,2806,2806,2806,0
2007-10-30,2790,2840,2790,2840,0
2007-10-31,2900,2915,2900,2915,0
2007-11-01,2870,2901,2870,2901,0
2007-11-05,2912,2912,2912,2912,0
2007-11-05,2910,2931,2902,2931,0
2007-11-06,2985,2991,2985,2990,0
2007-11-08,2980,2988,2978,2988,0
2007-11-12,2975,2988,2915,2915,0
2007-11-12,2930,2940,2915,2916,0
2007-11-13,2915,2927,2910,2927,0
2007-11-14,2960,2970,2935,2935,0
2007-11-15,2920,2920,2897,2900,0
2007-11-19,2925,2949,2925,2949,0
2007-11-19,2930,2930,2910,2929,0
2007-11-20,2980,2980,2965,2970,0
2007-11-21,2970,2996,2970,2986,0
2007-11-22,2990,3043,2990,3043,0
2007-11-26,3050,3058,3040,3040,0
2007-11-26,3017,3030,2980,2980,0
2007-11-27,2935,2935,2920,2920,0
2007-11-28,2920,2920,2920,2920,0
2007-11-29,2950,2950,2945,2945,0
2007-12-03,2915,2920,2893,2920,0
2007-12-03,2924,2928,2891,2891,0
2007-12-04,2895,2920,2875,2890,0
2007-12-05,2850,2854,2842,2854,0
2007-12-06,2898,2901,2877,2877,0
2007-12-10,2882,2887,2870,2870,0
2007-12-10,2920,2920,2886,2886,0
2007-12-11,2872,2895,2870,2895,0
2007-12-12,2930,2940,2915,2935,0
2007-12-13,2930,2940,2915,2935,0
2007-12-17,2942,2980,2935,2980,0
2007-12-17,2955,2965,2934,2950,0
2007-12-18,2947,2979,2947,2962,0
2007-12-20,2974,3000,2974,2987,0
2007-12-24,3001,3024,3001,3024,0
2007-12-25,3040,3080,3040,3077,0
2007-12-26,3128,3144,3079,3084,0
2007-12-27,3115,3129,3101,3115,0
2007-12-31,3079,3112,3041,3045,0
2008-01-01,3090,3090,3063,3070,0
2008-01-02,3155,3155,3110,3127,0
2008-01-03,3130,3130,3105,3112,0
2008-01-07,3105,3180,3078,3180,0
2008-01-07,3158,3169,3135,3162,0
2008-01-08,3167,3196,3165,3192,0
2008-01-10,3200,3274,3178,3274,0
2008-01-14,3325,3413,3313,3405,0
2008-01-14,3400,3400,3314,3320,0
2008-01-15,3322,3342,3262,3263,0
2008-01-16,3265,3376,3265,3360,0
2008-01-17,3310,3336,3280,3316,0
2008-01-21,3300,3320,3232,3243,0
2008-01-21,3180,3180,3068,3115,0
2008-01-22,3115,3115,3115,3115,0
2008-01-23,3090,3230,3045,3211,0
2008-01-24,3268,3285,3054,3255,0
2008-01-28,3220,3250,3150,3150,0
2008-01-28,3195,3230,3176,3200,0
2008-01-29,3236,3254,3218,3224,0
2008-01-30,3209,3253,3198,3232,0
2008-02-04,3280,3353,3277,3345,0
2008-02-04,3411,3458,3349,3349,0
2008-02-05,3380,3411,3350,3385,0
2008-02-11,3333,3417,3323,3412,0
2008-02-11,3405,3446,3375,3375,0
2008-02-12,3391,3403,3338,3360,0
2008-02-13,3422,3459,3408,3451,0
2008-02-14,3544,3544,3474,3484,0
2008-02-18,3506,3597,3506,3595,0
2008-02-18,3580,3645,3556,3624,0
2008-02-19,3610,3655,3610,3630,0
2008-02-20,3681,3704,3667,3700,0
2008-02-21,3673,3717,3658,3695,0
2008-02-25,3785,3910,3772,3862,0
2008-02-25,3897,3899,3760,3795,0
2008-02-26,3838,3882,3800,3862,0
2008-02-27,3880,3880,3836,3843,0
2008-02-28,3940,4008,3940,3989,0
2008-03-03,4136,4327,4134,4321,0
2008-03-03,4427,4483,4072,4090,0
2008-03-04,3927,4090,3924,4090,0
2008-03-05,4117,4118,3967,4000,0
2008-03-06,3810,3872,3688,3707,0
2008-03-10,3520,3990,3505,3662,0
2008-03-10,3775,3856,3762,3840,0
2008-03-11,3822,3857,3697,3799,0
2008-03-12,3759,3872,3738,3796,0
2008-03-13,3796,3830,3668,3710,0
2008-03-17,3550,3601,3520,3599,0
2008-03-17,3429,3449,3190,3449,0
2008-03-18,3460,3464,3254,3344,0
2008-03-20,3240,3400,3234,3335,0
2008-03-24,3429,3519,3216,3216,0
2008-03-24,3401,3460,3382,3460,0
2008-03-25,3550,3650,3550,3650,0
2008-03-26,3600,3613,3560,3584,0
2008-03-27,3542,3557,3494,3494,0
2008-03-31,3425,3426,3384,3385,0
2008-03-31,3120,3170,3065,3170,0
2008-04-01,3170,3170,3170,3170,0
2008-04-02,3244,3285,3230,3285,0
2008-04-03,3285,3285,3285,3285,0
2008-04-07,3350,3365,3350,3365,0
2008-04-07,3360,3360,3360,3360,0
2008-04-08,3358,3358,3325,3325,0
2008-04-09,3410,3410,3410,3410,0
2008-04-10,3445,3445,3445,3445,0
2008-04-14,3480,3565,3480,3565,0
2008-04-14,3565,3565,3565,3565,0
