Timestamp (UTC),Open,High,Low,Close,FCPO Jun08: Volume
2007-12-17,2959,2959,2959,2959,0
2007-12-17,2952,2952,2952,2952,0
2007-12-18,2970,2970,2958,2958,0
2007-12-20,2983,2983,2983,2983,0
2007-12-24,3020,3020,3020,3020,0
2007-12-25,3060,3060,3060,3060,0
2007-12-26,3078,3078,3078,3078,0
2007-12-27,3115,3115,3105,3105,0
2007-12-31,3115,3115,3035,3035,0
2008-01-01,3055,3055,3055,3055,0
2008-01-02,3128,3128,3110,3112,0
2008-01-03,3100,3100,3095,3097,0
2008-01-07,3110,3160,3110,3160,0
2008-01-07,3150,3150,3146,3149,0
2008-01-08,3155,3172,3155,3172,0
2008-01-10,3200,3264,3200,3264,0
2008-01-14,3325,3390,3315,3388,0
2008-01-14,3355,3365,3301,3305,0
2008-01-15,3250,3260,3249,3249,0
2008-01-16,3295,3364,3295,3339,0
2008-01-17,3285,3315,3280,3295,0
2008-01-21,3300,3300,3220,3229,0
2008-01-21,3150,3150,3079,3098,0
2008-01-22,3098,3098,3098,3098,0
2008-01-23,3050,3209,3050,3209,0
2008-01-24,3220,3240,3170,3237,0
2008-01-28,3227,3230,3138,3138,0
2008-01-28,3200,3220,3180,3188,0
2008-01-29,3240,3240,3215,3223,0
2008-01-30,3205,3236,3205,3231,0
2008-02-04,3285,3348,3281,3347,0
2008-02-04,3440,3450,3350,3358,0
2008-02-05,3380,3400,3380,3394,0
2008-02-11,3338,3413,3338,3413,0
2008-02-11,3425,3429,3372,3372,0
2008-02-12,3360,3360,3340,3353,0
2008-02-13,3435,3455,3425,3450,0
2008-02-14,3517,3524,3475,3477,0
2008-02-18,3519,3600,3509,3594,0
2008-02-18,3582,3640,3560,3622,0
2008-02-19,3610,3650,3610,3624,0
2008-02-20,3688,3705,3666,3700,0
2008-02-21,3676,3715,3657,3700,0
2008-02-25,3785,3908,3775,3880,0
2008-02-25,3897,3897,3760,3792,0
2008-02-26,3845,3884,3800,3862,0
2008-02-27,3868,3874,3837,3849,0
2008-02-28,3960,4010,3945,4004,0
2008-03-03,4150,4315,4128,4312,0
2008-03-03,4419,4466,4060,4090,0
2008-03-04,3975,4087,3918,4086,0
2008-03-05,4102,4102,3948,4000,0
2008-03-06,3794,3872,3693,3705,0
2008-03-10,3550,3996,3500,3664,0
2008-03-10,3800,3865,3762,3830,0
2008-03-11,3845,3860,3698,3770,0
2008-03-12,3760,3873,3722,3818,0
2008-03-13,3799,3837,3672,3689,0
2008-03-17,3580,3604,3515,3600,0
2008-03-17,3390,3450,3171,3450,0
2008-03-18,3428,3470,3229,3330,0
2008-03-20,3225,3409,3197,3330,0
2008-03-24,3415,3541,3328,3340,0
2008-03-24,3388,3501,3380,3500,0
2008-03-25,3560,3700,3550,3700,0
2008-03-26,3640,3670,3555,3640,0
2008-03-27,3634,3634,3507,3550,0
2008-03-31,3430,3490,3390,3395,0
2008-03-31,3200,3230,3033,3179,0
2008-04-01,3240,3299,3156,3170,0
2008-04-02,3260,3311,3230,3290,0
2008-04-03,3305,3305,3262,3297,0
2008-04-07,3327,3387,3321,3382,0
2008-04-07,3340,3397,3340,3375,0
2008-04-08,3395,3400,3290,3325,0
2008-04-09,3405,3455,3380,3455,0
2008-04-10,3480,3500,3425,3454,0
2008-04-14,3453,3595,3428,3595,0
2008-04-14,3640,3698,3630,3690,0
2008-04-15,3694,3694,3630,3665,0
2008-04-16,3646,3695,3623,3627,0
2008-04-17,3634,3650,3550,3550,0
2008-04-21,3525,3532,3436,3460,0
2008-04-21,3415,3510,3415,3463,0
2008-04-22,3510,3551,3492,3525,0
2008-04-23,3510,3535,3456,3456,0
2008-04-24,3426,3426,3387,3390,0
2008-04-28,3410,3510,3410,3510,0
2008-04-28,3434,3434,3355,3370,0
2008-04-29,3372,3401,3365,3390,0
2008-05-01,3296,3332,3296,3332,0
2008-05-05,3382,3405,3369,3381,0
2008-05-05,3423,3423,3365,3380,0
2008-05-06,3382,3390,3350,3350,0
2008-05-07,3401,3459,3380,3459,0
2008-05-08,3465,3488,3439,3488,0
2008-05-12,3592,3612,3550,3554,0
2008-05-12,3528,3540,3514,3514,0
2008-05-13,3551,3587,3529,3542,0
2008-05-14,3497,3525,3487,3520,0
2008-05-15,3508,3566,3499,3566,0
2008-05-19,3515,3546,3515,3538,0
2008-05-20,3538,3560,3528,3535,0
2008-05-21,3618,3618,3585,3587,0
2008-05-22,3568,3631,3568,3631,0
2008-05-26,3648,3680,3638,3670,0
2008-05-26,3697,3712,3689,3712,0
2008-05-27,3660,3671,3572,3572,0
2008-05-28,3615,3615,3542,3555,0
2008-05-29,3500,3525,3490,3525,0
2008-06-02,3510,3550,3510,3550,0
2008-06-02,3553,3554,3535,3537,0
2008-06-03,3503,3507,3449,3450,0
2008-06-04,3453,3513,3422,3497,0
2008-06-05,3580,3600,3570,3600,0
2008-06-09,3660,3660,3660,3660,0
2008-06-09,3625,3637,3540,3540,0
2008-06-10,3530,3595,3491,3595,0
2008-06-11,3612,3612,3612,3612,0
2008-06-12,3657,3660,3657,3660,0
