Timestamp (UTC),Open,High,Low,Close,FCPO Apr24: Volume
4/19/2023,3663,3664,3663,3664,110
4/20/2023,3639,3645,3639,3640,56
4/25/2023,3592,3592,3589,3589,23
4/27/2023,3525,3525,3398,3402,186
4/28/2023,3463,3463,3305,3305,99
5/2/2023,3410,3410,3376,3376,42
5/3/2023,3380,3380,3380,3380,26
5/5/2023,3468,3511,3468,3511,207
5/8/2023,3566,3638,3566,3638,104
5/9/2023,3551,3551,3551,3551,12
5/10/2023,3556,3557,3541,3541,84
5/11/2023,3457,3466,3457,3466,9
5/12/2023,3427,3427,3427,3427,15
5/15/2023,3430,3485,3430,3485,87
5/16/2023,3418,3454,3412,3423,327
5/17/2023,3399,3438,3399,3438,104
5/18/2023,3400,3420,3400,3415,35
5/19/2023,3390,3466,3390,3460,143
5/22/2023,3390,3442,3390,3442,50
5/23/2023,3422,3422,3384,3384,182
5/24/2023,3389,3389,3387,3387,66
5/25/2023,3450,3516,3450,3493,185
5/26/2023,3534,3534,3532,3532,8
5/29/2023,3519,3554,3519,3554,19
5/30/2023,3512,3512,3450,3450,46
5/31/2023,3413,3413,3338,3343,297
6/1/2023,3390,3404,3380,3380,136
6/2/2023,3438,3453,3425,3434,22
6/6/2023,3395,3407,3377,3407,461
6/7/2023,3430,3431,3401,3406,248
6/8/2023,3398,3398,3360,3379,594
6/9/2023,3389,3470,3389,3468,275
6/12/2023,3450,3450,3435,3440,464
6/13/2023,3492,3510,3492,3510,251
6/14/2023,3536,3536,3536,3536,356
6/16/2023,3734,3826,3734,3826,387
6/19/2023,3803,3856,3785,3852,247
6/20/2023,3842,3859,3842,3850,526
6/21/2023,3725,3725,3718,3718,288
6/22/2023,3659,3708,3651,3703,167
6/23/2023,3731,3734,3686,3717,143
6/26/2023,3759,3759,3745,3745,171
6/27/2023,3815,3815,3754,3778,823
6/28/2023,3737,3835,3737,3811,617
6/30/2023,3863,3863,3820,3841,954
7/3/2023,3988,4003,3964,3995,543
7/4/2023,3970,3979,3913,3918,588
7/5/2023,3921,3926,3886,3926,379
7/6/2023,3938,3968,3935,3967,616
7/7/2023,3941,3950,3914,3930,254
7/10/2023,3898,4000,3896,4000,579
7/11/2023,3998,4025,3924,3946,1545
7/12/2023,3948,3993,3948,3992,773
7/13/2023,3976,3976,3914,3942,1017
7/14/2023,3956,3991,3899,3956,1468
7/17/2023,3939,3967,3930,3955,420
7/18/2023,3932,3961,3906,3940,807
7/20/2023,3987,4081,3986,4076,1509
7/21/2023,4060,4095,4047,4076,2599
7/24/2023,4024,4210,4010,4180,1545
7/25/2023,4165,4165,4058,4064,1249
7/26/2023,4106,4138,4070,4095,1948
7/27/2023,4106,4106,4050,4056,773
7/28/2023,4039,4041,3990,4041,750
7/31/2023,3980,3981,3933,3950,534
8/1/2023,3933,3973,3888,3939,1031
8/2/2023,3947,4000,3945,3972,2159
8/3/2023,3959,3971,3881,3891,1990
8/4/2023,3886,3967,3886,3960,1697
8/7/2023,3957,3963,3867,3876,1419
