Timestamp (UTC),Open,High,Low,Close,FCPO Sep09: Volume
2007-09-17,2430,2430,2430,2430,0
2007-09-20,2420,2420,2420,2420,0
2007-09-24,2451,2451,2451,2451,0
2007-09-24,2450,2450,2432,2432,0
2007-09-25,2441,2441,2441,2441,0
2007-09-26,2426,2426,2426,2426,0
2007-09-27,2465,2465,2465,2465,0
2007-10-01,2450,2450,2450,2450,0
2007-10-01,2400,2400,2400,2400,0
2007-10-02,2378,2378,2378,2378,0
2007-10-03,2400,2400,2400,2400,0
2007-10-04,2390,2390,2390,2390,0
2007-10-08,2343,2343,2343,2343,0
2007-10-08,2410,2410,2410,2410,0
2007-10-09,2435,2435,2435,2435,0
2007-10-10,2460,2460,2460,2460,0
2007-10-11,2514,2514,2514,2514,0
2007-10-15,2514,2514,2514,2514,0
2007-10-16,2514,2514,2514,2514,0
2007-10-17,2512,2512,2512,2512,0
2007-10-18,2532,2532,2532,2532,0
2007-10-22,2532,2532,2532,2532,0
2007-10-22,2462,2462,2462,2462,0
2007-10-23,2482,2482,2482,2482,0
2007-10-25,2632,2632,2632,2632,0
2007-10-29,2762,2762,2762,2762,0
2007-10-29,2703,2703,2703,2703,0
2007-10-30,2612,2612,2612,2612,0
2007-10-31,2822,2822,2822,2822,0
2007-11-01,2732,2732,2732,2732,0
2007-11-05,2717,2717,2717,2717,0
2007-11-05,2752,2752,2752,2752,0
2007-11-06,2812,2812,2812,2812,0
2007-11-08,2800,2800,2800,2800,0
2007-11-12,2865,2865,2770,2770,0
2007-11-12,2810,2810,2810,2810,0
2007-11-13,2821,2821,2821,2821,0
2007-11-14,2836,2836,2836,2836,0
2007-11-15,2801,2801,2801,2801,0
2007-11-19,2883,2883,2883,2883,0
2007-11-19,2863,2863,2863,2863,0
2007-11-20,2896,2896,2896,2896,0
2007-11-21,2890,2890,2890,2890,0
2007-11-22,2900,2915,2900,2908,0
2007-11-26,2905,2905,2905,2905,0
2007-11-26,2871,2871,2871,2871,0
2007-11-27,2811,2811,2811,2811,0
2007-11-28,2900,2900,2900,2900,0
2007-11-29,2803,2803,2803,2803,0
2007-12-03,2773,2773,2773,2773,0
2007-12-05,2700,2700,2700,2700,0
2007-12-06,2749,2749,2749,2749,0
2007-12-10,2742,2742,2742,2742,0
2007-12-11,2702,2702,2702,2702,0
2007-12-12,2812,2812,2812,2812,0
2007-12-13,2827,2827,2827,2827,0
2007-12-17,2832,2832,2832,2832,0
2007-12-17,2825,2825,2825,2825,0
2007-12-18,2835,2835,2835,2835,0
2007-12-20,2860,2860,2860,2860,0
2007-12-24,2897,2897,2897,2897,0
2007-12-25,3012,3012,3012,3012,0
2007-12-26,3030,3030,3030,3030,0
2007-12-27,3057,3057,3057,3057,0
2007-12-31,2988,2988,2988,2988,0
2008-01-01,2999,2999,2999,2999,0
2008-01-02,3056,3056,3056,3056,0
2008-01-03,2993,2993,2993,2993,0
2008-01-07,3031,3031,3031,3031,0
2008-01-07,2986,2986,2986,2986,0
2008-01-08,3008,3008,3008,3008,0
2008-01-10,3088,3088,3088,3088,0
2008-01-14,3218,3218,3218,3218,0
2008-01-14,3135,3135,3135,3135,0
2008-01-15,3079,3079,3079,3079,0
2008-01-16,3169,3169,3169,3169,0
2008-01-17,3185,3185,3185,3185,0
2008-01-21,3119,3119,3119,3119,0
2008-01-21,3013,3013,3013,3013,0
2008-01-23,3103,3103,3103,3103,0
2008-01-24,3103,3103,3103,3103,0
2008-01-28,3068,3068,3068,3068,0
2008-01-28,3093,3093,3093,3093,0
2008-01-29,3113,3113,3113,3113,0
2008-01-30,3150,3150,3150,3150,0
2008-02-04,3255,3255,3255,3255,0
2008-02-04,3274,3274,3274,3274,0
2008-02-05,3310,3310,3310,3310,0
2008-02-11,3329,3329,3329,3329,0
2008-02-11,3329,3329,3329,3329,0
2008-02-12,3269,3269,3269,3269,0
2008-02-13,3358,3358,3358,3358,0
2008-02-14,3390,3390,3390,3390,0
2008-02-18,3518,3518,3518,3518,0
2008-02-19,3551,3551,3551,3551,0
2008-02-20,3605,3605,3605,3605,0
2008-02-21,3605,3605,3605,3605,0
2008-02-25,3785,3785,3785,3785,0
2008-02-25,3697,3697,3697,3697,0
2008-02-26,3752,3752,3752,3752,0
2008-02-27,3731,3731,3731,3731,0
2008-02-28,3860,3860,3860,3860,0
2008-03-03,4166,4166,4166,4166,0
2008-03-03,3951,3951,3951,3951,0
2008-03-05,3861,3861,3861,3861,0
2008-03-06,3620,3620,3620,3620,0
2008-03-10,3620,3620,3620,3620,0
2008-03-10,3774,3774,3774,3774,0
2008-03-12,3749,3749,3749,3749,0
2008-03-13,3658,3658,3658,3658,0
2008-03-17,3544,3544,3544,3544,0
2008-03-17,3399,3399,3399,3399,0
2008-03-18,3280,3280,3280,3280,0
2008-03-20,3260,3260,3260,3260,0
2008-03-24,3270,3270,3270,3270,0
2008-03-24,3434,3434,3434,3434,0
2008-03-25,3600,3600,3600,3600,0
2008-03-26,3600,3600,3553,3553,0
2008-03-27,3466,3466,3466,3466,0
2008-03-31,3313,3313,3313,3313,0
2008-04-01,3110,3110,3110,3110,0
2008-04-02,3322,3322,3322,3322,0
2008-04-07,3323,3323,3323,3323,0
2008-04-08,3277,3277,3277,3277,0
2008-04-10,3460,3460,3460,3460,0
2008-04-14,3500,3500,3500,3500,0
2008-04-14,3639,3639,3639,3639,0
2008-04-15,3640,3640,3640,3640,0
2008-04-16,3598,3598,3598,3598,0
2008-04-17,3468,3468,3468,3468,0
2008-04-21,3425,3425,3425,3425,0
2008-04-22,3516,3516,3516,3516,0
2008-04-23,3454,3454,3454,3454,0
2008-04-24,3356,3356,3356,3356,0
2008-04-28,3459,3459,3459,3459,0
2008-04-29,3344,3344,3344,3344,0
2008-05-05,3329,3329,3329,3329,0
