Timestamp (UTC),Open,High,Low,Close,FCPO May09: Volume
2008-02-14,3390,3390,3390,3390,0
2008-02-18,3518,3518,3518,3518,0
2008-02-19,3551,3551,3551,3551,0
2008-02-20,3605,3605,3605,3605,0
2008-02-21,3605,3605,3605,3605,0
2008-02-25,3785,3785,3785,3785,0
2008-02-25,3697,3697,3697,3697,0
2008-02-26,3752,3752,3752,3752,0
2008-02-27,3731,3731,3731,3731,0
2008-02-28,3860,3860,3860,3860,0
2008-03-03,4166,4166,4166,4166,0
2008-03-03,3951,3951,3951,3951,0
2008-03-04,3947,3947,3947,3947,0
2008-03-05,3861,3861,3861,3861,0
2008-03-06,3620,3620,3620,3620,0
2008-03-10,3620,3620,3620,3620,0
2008-03-10,3774,3774,3774,3774,0
2008-03-12,3749,3749,3749,3749,0
2008-03-13,3658,3658,3658,3658,0
2008-03-17,3544,3544,3544,3544,0
2008-03-17,3399,3399,3399,3399,0
2008-03-18,3280,3280,3280,3280,0
2008-03-20,3260,3260,3260,3260,0
2008-03-24,3270,3270,3270,3270,0
2008-03-24,3434,3434,3434,3434,0
2008-03-25,3600,3600,3600,3600,0
2008-03-26,3600,3600,3553,3553,0
2008-03-27,3466,3466,3466,3466,0
2008-03-31,3313,3313,3313,3313,0
2008-04-01,3110,3110,3110,3110,0
2008-04-02,3322,3322,3322,3322,0
2008-04-07,3323,3323,3323,3323,0
2008-04-08,3277,3277,3277,3277,0
2008-04-09,3397,3397,3397,3397,0
2008-04-10,3460,3460,3460,3460,0
2008-04-14,3500,3532,3500,3532,0
2008-04-14,3671,3671,3671,3671,0
2008-04-15,3672,3672,3672,3672,0
2008-04-16,3630,3630,3630,3630,0
2008-04-17,3500,3500,3500,3500,0
2008-04-21,3404,3404,3404,3404,0
2008-04-21,3404,3404,3404,3404,0
2008-04-22,3495,3495,3495,3495,0
2008-04-23,3433,3433,3433,3433,0
2008-04-24,3335,3335,3335,3335,0
2008-04-28,3460,3460,3460,3460,0
2008-04-28,3460,3460,3460,3460,0
2008-04-29,3345,3345,3345,3345,0
2008-05-01,3345,3345,3345,3345,0
2008-05-05,3330,3330,3330,3330,0
2008-05-05,3350,3350,3350,3350,0
2008-05-06,3330,3330,3330,3330,0
2008-05-07,3330,3330,3330,3330,0
2008-05-08,3450,3450,3450,3450,0
2008-05-12,3531,3531,3531,3531,0
2008-05-12,3499,3499,3499,3499,0
2008-05-13,3499,3499,3499,3499,0
2008-05-14,3469,3469,3469,3469,0
2008-05-15,3510,3510,3510,3510,0
2008-05-19,3494,3494,3494,3494,0
2008-05-20,3494,3494,3494,3494,0
2008-05-21,3494,3494,3494,3494,0
2008-05-22,3494,3494,3494,3494,0
2008-05-26,3641,3641,3641,3641,0
2008-05-26,3690,3690,3690,3690,0
2008-05-27,3524,3524,3524,3524,0
2008-05-28,3526,3526,3526,3526,0
2008-05-29,3500,3500,3451,3451,0
2008-06-02,3450,3450,3450,3450,0
2008-06-02,3494,3494,3494,3494,0
2008-06-03,3430,3430,3390,3406,0
2008-06-04,3430,3430,3390,3406,0
2008-06-05,3560,3560,3560,3560,0
2008-06-09,3645,3645,3618,3618,0
2008-06-09,3618,3618,3618,3618,0
2008-06-10,3530,3530,3530,3530,0
2008-06-11,3555,3555,3555,3555,0
2008-06-12,3600,3600,3600,3600,0
2008-06-16,3650,3650,3650,3650,0
2008-06-17,3570,3570,3570,3570,0
2008-06-18,3538,3538,3538,3538,0
2008-06-19,3538,3538,3538,3538,0
2008-06-23,3508,3508,3508,3508,0
2008-06-23,3445,3445,3445,3445,0
2008-06-24,3450,3520,3450,3485,0
2008-06-25,3503,3503,3503,3503,0
2008-06-26,3584,3584,3584,3584,0
2008-06-30,3549,3549,3549,3549,0
2008-06-30,3527,3527,3527,3527,0
2008-07-01,3571,3571,3571,3571,0
2008-07-02,3630,3630,3630,3630,0
2008-07-03,3630,3630,3630,3630,0
2008-07-07,3520,3557,3520,3557,0
2008-07-07,3487,3487,3487,3487,0
2008-07-08,3510,3530,3478,3530,0
2008-07-09,3530,3530,3530,3530,0
2008-07-10,3570,3570,3570,3570,0
2008-07-14,3520,3520,3520,3520,0
2008-07-14,3535,3580,3535,3570,0
2008-07-15,3485,3489,3485,3489,0
2008-07-16,3475,3475,3475,3475,0
2008-07-17,3395,3395,3375,3391,0
2008-07-21,3262,3262,3262,3262,0
2008-07-21,3262,3262,3262,3262,0
