entry_z,exit_z,shape_regime,period,n,win_pct,adj_sharpe,pnl,max_dd,low_n
1.5,0.75,SB+C,P1_2020-2021,129,77.5,1.565,1470.5,-158.6,False
1.5,0.75,SB+C,P2_2022-2023,112,73.2,1.088,2654.8,-318.6,False
1.5,0.75,SB+C,P3_2024-2026,119,71.4,1.246,695.8,-68.8,False
1.75,0.25,SB,P1_2020-2021,74,66.2,1.105,864.3,-115.8,False
1.75,0.25,SB,P2_2022-2023,44,72.7,0.853,2162.2,-219.8,False
1.75,0.25,SB,P3_2024-2026,48,72.9,1.259,524.8,-76.8,False
1.75,0.25,C,P1_2020-2021,0,,,0.0,0.0,True
1.75,0.25,C,P2_2022-2023,32,43.8,0.476,55.3,-208.3,False
1.75,0.25,C,P3_2024-2026,32,68.8,0.787,108.0,-16.3,False
1.75,0.25,Transitional,P1_2020-2021,0,,,0.0,0.0,True
1.75,0.25,Transitional,P2_2022-2023,0,,,0.0,0.0,True
1.75,0.25,Transitional,P3_2024-2026,0,,,0.0,0.0,True
1.75,0.25,SB+C,P1_2020-2021,74,66.2,1.105,864.3,-115.8,False
1.75,0.25,SB+C,P2_2022-2023,76,60.5,0.917,2217.5,-261.6,False
1.75,0.25,SB+C,P3_2024-2026,80,71.2,1.484,632.8,-60.9,False
1.75,0.5,SB,P1_2020-2021,74,71.6,1.018,926.3,-95.8,False
1.75,0.5,SB,P2_2022-2023,46,73.9,0.826,1742.6,-219.8,False
1.75,0.5,SB,P3_2024-2026,50,74.0,1.251,485.0,-79.8,False
1.75,0.5,C,P1_2020-2021,0,,,0.0,0.0,True
1.75,0.5,C,P2_2022-2023,33,57.6,0.596,297.5,-49.7,False
1.75,0.5,C,P3_2024-2026,32,68.8,0.585,108.0,-17.3,False
1.75,0.5,Transitional,P1_2020-2021,0,,,0.0,0.0,True
1.75,0.5,Transitional,P2_2022-2023,0,,,0.0,0.0,True
1.75,0.5,Transitional,P3_2024-2026,0,,,0.0,0.0,True
1.75,0.5,SB+C,P1_2020-2021,74,71.6,1.018,926.3,-95.8,False
1.75,0.5,SB+C,P2_2022-2023,79,67.1,0.905,2040.1,-219.8,False
1.75,0.5,SB+C,P3_2024-2026,82,72.0,1.38,593.1,-59.7,False
1.75,0.75,SB,P1_2020-2021,81,75.3,1.051,955.6,-130.8,False
1.75,0.75,SB,P2_2022-2023,51,72.5,0.74,1672.4,-250.6,False
1.75,0.75,SB,P3_2024-2026,53,75.5,1.174,459.5,-107.7,False
1.75,0.75,C,P1_2020-2021,0,,,0.0,0.0,True
