Timestamp (UTC),Open,High,Low,Close,FCPO Feb11: Volume
2010-08-16,2663,2663,2663,2663,0
2010-08-16,2635,2635,2635,2635,0
2010-08-17,2620,2620,2588,2601,0
2010-08-18,2580,2580,2580,2580,0
2010-08-19,2525,2525,2525,2525,0
2010-08-23,2520,2520,2520,2520,0
2010-08-23,2461,2461,2461,2461,0
2010-08-24,2470,2470,2470,2470,0
2010-08-25,2515,2515,2515,2515,0
2010-08-26,2535,2535,2510,2510,0
2010-08-30,2545,2547,2545,2547,0
2010-08-31,2509,2509,2509,2509,0
2010-09-01,2520,2520,2520,2520,0
2010-09-02,2538,2538,2538,2538,0
2010-09-06,2599,2599,2599,2599,0
2010-09-06,2610,2610,2600,2600,0
2010-09-07,2635,2658,2635,2658,0
2010-09-08,2623,2635,2618,2626,0
2010-09-13,2644,2663,2644,2663,0
2010-09-13,2657,2657,2625,2629,0
2010-09-14,2616,2623,2596,2596,0
2010-09-16,2610,2630,2605,2626,0
2010-09-20,2718,2718,2700,2710,0
2010-09-20,2690,2702,2666,2674,0
2010-09-21,2692,2696,2669,2691,0
2010-09-22,2702,2702,2680,2680,0
2010-09-23,2691,2717,2690,2710,0
2010-09-27,2762,2762,2729,2752,0
2010-09-27,2730,2755,2730,2752,0
2010-09-28,2725,2725,2710,2711,0
2010-09-29,2730,2755,2727,2741,0
2010-09-30,2752,2753,2744,2744,0
2010-10-04,2688,2700,2673,2680,0
2010-10-04,2676,2710,2673,2704,0
2010-10-05,2724,2740,2724,2739,0
2010-10-06,2740,2786,2738,2783,0
2010-10-07,2800,2802,2757,2757,0
2010-10-11,2895,2935,2887,2921,0
2010-10-11,2905,2926,2886,2895,0
2010-10-12,2919,2935,2906,2932,0
2010-10-13,2959,2975,2907,2920,0
2010-10-14,2945,2954,2930,2936,0
2010-10-18,2900,2909,2884,2890,0
2010-10-18,2918,2931,2910,2918,0
2010-10-19,2907,2982,2907,2978,0
2010-10-20,3005,3017,2986,2987,0
2010-10-21,2980,3010,2975,3002,0
2010-10-25,3050,3082,3043,3066,0
2010-10-25,3055,3064,3038,3050,0
2010-10-26,3038,3042,3014,3039,0
2010-10-27,3037,3088,3037,3086,0
2010-10-28,3068,3080,3052,3061,0
2010-11-01,3093,3097,3070,3091,0
2010-11-01,3089,3106,3080,3091,0
2010-11-02,3102,3108,3086,3086,0
2010-11-03,3111,3210,3110,3195,0
2010-11-08,3283,3347,3266,3274,0
2010-11-08,3287,3371,3287,3364,0
2010-11-09,3402,3402,3346,3391,0
2010-11-10,3387,3450,3376,3395,0
2010-11-11,3305,3352,3270,3351,0
2010-11-15,3309,3375,3273,3375,0
2010-11-15,3351,3399,3260,3265,0
2010-11-17,3190,3318,3114,3318,0
2010-11-18,3325,3364,3271,3326,0
2010-11-22,3270,3298,3179,3184,0
2010-11-22,3173,3215,3103,3115,0
2010-11-23,3162,3213,3150,3168,0
2010-11-24,3230,3284,3223,3276,0
2010-11-25,3235,3281,3233,3274,0
2010-11-29,3276,3390,3276,3381,0
2010-11-29,3383,3458,3345,3412,0
2010-11-30,3442,3500,3428,3486,0
2010-12-01,3528,3540,3486,3500,0
2010-12-02,3520,3537,3490,3516,0
2010-12-06,3545,3618,3541,3610,0
2010-12-07,3588,3609,3525,3594,0
2010-12-08,3637,3640,3591,3598,0
2010-12-09,3572,3637,3569,3633,0
2010-12-13,3656,3736,3640,3722,0
2010-12-13,3737,3766,3669,3680,0
2010-12-14,3675,3702,3609,3669,0
2010-12-15,3633,3665,3614,3630,0
2010-12-16,3645,3653,3522,3547,0
2010-12-20,3581,3602,3535,3562,0
2010-12-20,3597,3613,3586,3600,0
2010-12-21,3637,3665,3615,3646,0
2010-12-22,3655,3705,3655,3690,0
2010-12-23,3686,3707,3675,3696,0
2010-12-27,3718,3801,3713,3791,0
2010-12-27,3824,3824,3800,3818,0
2010-12-28,3804,3807,3760,3765,0
2010-12-29,3773,3820,3748,3820,0
2010-12-30,3820,3820,3820,3820,0
2011-01-03,3874,3883,3848,3873,0
2011-01-03,3840,3925,3840,3913,0
2011-01-04,3843,3874,3818,3830,0
2011-01-05,3903,3916,3880,3888,0
2011-01-06,3850,3854,3798,3800,0
2011-01-10,3761,3817,3761,3771,0
2011-01-10,3785,3785,3719,3725,0
2011-01-11,3747,3748,3654,3679,0
2011-01-12,3769,3769,3680,3718,0
2011-01-13,3710,3735,3692,3692,0
2011-01-17,3730,3740,3695,3718,0
2011-01-17,3694,3732,3694,3729,0
2011-01-18,3751,3793,3750,3792,0
2011-01-20,3815,3850,3811,3811,0
2011-01-24,3903,3903,3815,3815,0
2011-01-24,3792,3792,3760,3777,0
2011-01-25,3705,3762,3695,3748,0
2011-01-26,3780,3785,3735,3750,0
2011-01-27,3743,3773,3740,3765,0
2011-01-31,3799,3845,3799,3840,0
2011-02-07,3920,3920,3900,3910,0
2011-02-07,3865,3925,3860,3925,0
2011-02-08,4000,4000,3937,3971,0
2011-02-09,3985,3985,3926,3966,0
2011-02-10,3988,3988,3982,3982,0
2011-02-14,3930,3968,3930,3968,0
